"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",370,370,370,349,"1","0.00010"
"2","GO:0000018","regulation of DNA recombination",20,20,20,587,"1","0.00767"
"3","GO:0000041","transition metal ion transport",26,26,26,1436,"1","0.28719"
"4","GO:0000070","mitotic sister chromatid segregation",70,70,70,25,"1","1.6e-22"
"5","GO:0000075","cell cycle checkpoint",77,77,77,56,"1","2.7e-14"
"6","GO:0000077","DNA damage checkpoint",46,46,46,304,"1","2.7e-05"
"7","GO:0000079","regulation of cyclin-dependent protein s...",39,39,39,382,"1","0.00023"
"8","GO:0000082","G1/S transition of mitotic cell cycle",88,88,88,108,"1","3.6e-11"
"9","GO:0000083","regulation of transcription involved in ...",17,17,17,328,"1","4.9e-05"
"10","GO:0000086","G2/M transition of mitotic cell cycle",70,70,70,183,"1","8.1e-09"
"11","GO:0000096","sulfur amino acid metabolic process",10,10,10,2027,"1","0.54886"
"12","GO:0000122","negative regulation of transcription by ...",202,202,202,297,"1","1.9e-05"
"13","GO:0000132","establishment of mitotic spindle orienta...",12,12,12,429,"1","0.00057"
"14","GO:0000165","MAPK cascade",245,245,245,3535,"1","0.99948"
"15","GO:0000184","nuclear-transcribed mRNA catabolic proce...",11,11,11,577,"1","0.00672"
"16","GO:0000187","activation of MAPK activity",45,45,45,2311,"1","0.67087"
"17","GO:0000209","protein polyubiquitination",38,38,38,634,"1","0.01251"
"18","GO:0000226","microtubule cytoskeleton organization",153,153,153,159,"1","1.1e-09"
"19","GO:0000245","spliceosomal complex assembly",13,13,13,445,"1","0.00076"
"20","GO:0000271","polysaccharide biosynthetic process",21,21,21,3526,"1","0.99889"
"21","GO:0000278","mitotic cell cycle",314,314,314,4,"1","< 1e-30"
"22","GO:0000280","nuclear division",145,145,145,10,"1","< 1e-30"
"23","GO:0000281","mitotic cytokinesis",21,21,21,250,"1","2.6e-06"
"24","GO:0000288","nuclear-transcribed mRNA catabolic proce...",11,11,11,764,"1","0.03563"
"25","GO:0000302","response to reactive oxygen species",77,77,77,2560,"1","0.77931"
"26","GO:0000303","response to superoxide",10,10,10,888,"1","0.06816"
"27","GO:0000305","response to oxygen radical",10,10,10,889,"1","0.06816"
"28","GO:0000375","RNA splicing, via transesterification re...",63,63,63,51,"1","2.0e-14"
"29","GO:0000377","RNA splicing, via transesterification re...",63,63,63,52,"1","2.0e-14"
"30","GO:0000380","alternative mRNA splicing, via spliceoso...",19,19,19,407,"1","0.00036"
