node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
RGS2,1.0,0.0,1.0,2.0,12.67,1.0,0.06737,13.29607,3.48846,0.0,0.0,0.0,
RAD51AP1,1.0,0.0,1.0,2.0,30.179,1.0,0.07411,22.06984,5.01579,0.0,0.0,0.0,
RPS6KA4,1.0,0.0,1.0,2.0,26.25,1.0,0.09263,19.3631,5.44055,0.0,0.0,0.0,
WWC1,1.0,0.0,1.0,2.0,21.322,1.0,0.06737,16.8562,4.29279,0.0,0.0,0.0,
MOGAT1,1.0,0.0,1.0,2.0,1.66,1.0,0.01786,1.0,0.05357,0.0,0.0,0.0,
LPPR4,1.0,0.0,1.0,2.0,1.66,1.0,0.01786,1.0,0.05357,0.0,0.0,0.0,
KRT8,2.0,0.0,1.0,4.0,27.099,2.0,0.09263,20.02976,5.45862,162.0,29976.0,0.0,
KRT18,1.0,0.0,1.0,2.0,17.736,1.0,0.08234,15.9754,4.72659,0.0,0.0,0.0,
ITGB2,1.0,0.0,1.0,2.0,16.197,1.0,0.08234,16.79921,4.70851,0.0,0.0,0.0,
RGS1,2.0,0.0,1.0,4.0,19.173,2.0,0.07411,16.39365,4.22049,162.0,114568.0,0.0,
ISG15,720.0,1.42647,6.0,12.0,26.64,1.0,0.06737,17.21273,3.63306,0.0,0.0,0.45455,
IFITM1,720.0,1.42647,6.0,12.0,26.576,1.0,0.06737,17.21273,3.63306,0.0,0.0,0.45455,
IFITM3,720.0,1.42647,6.0,12.0,26.597,1.0,0.06737,17.21273,3.63306,0.0,0.0,0.45455,
IFITM2,720.0,1.42647,6.0,12.0,26.628,1.0,0.06737,17.21273,3.63306,0.0,0.0,0.45455,
IRF6,720.0,1.42647,6.0,12.0,26.578,1.0,0.06737,17.21273,3.63306,0.0,0.0,0.45455,
OAS2,720.0,1.42647,6.0,12.0,26.561,1.0,0.06737,17.21273,3.63306,0.0,0.0,0.45455,
HLA-C,722.0,1.42647,6.0,16.0,26.64,7.0,0.07411,20.22698,4.3199,912.0,1372320.0,0.26667,
HCST,1.0,0.0,1.0,2.0,16.437,1.0,0.08234,16.79921,4.70851,0.0,0.0,0.0,
HS3ST1,1.0,0.0,1.0,2.0,1.679,1.0,0.01786,1.0,0.05357,0.0,0.0,0.0,
GPC3,1.0,0.0,1.0,2.0,1.679,1.0,0.01786,1.0,0.05357,0.0,0.0,0.0,
NCAM1,1.0,0.0,1.0,2.0,1.678,1.0,0.01786,1.0,0.05357,0.0,0.0,0.0,
GFRA1,1.0,0.0,1.0,2.0,1.678,1.0,0.01786,1.0,0.05357,0.0,0.0,0.0,
FYB,1.0,0.0,1.0,2.0,18.911,1.0,0.07411,15.72698,4.20242,0.0,0.0,0.0,
PML,1.0,0.0,1.0,2.0,27.565,1.0,0.09263,19.14643,5.41344,0.0,0.0,0.0,
FOXO1,5.0,0.61795,3.0,8.0,41.138,11.0,0.10587,25.66667,6.14547,436.46667,304320.0,0.14286,
TSC22D3,1.0,0.0,1.0,2.0,29.639,1.0,0.10587,22.61667,5.93761,0.0,0.0,0.0,
PPARG,4.0,0.61795,3.0,6.0,41.229,1.0,0.10587,25.16667,6.13643,274.46667,289176.0,0.26667,
MAPK14,4.0,0.0,1.0,8.0,39.088,4.0,0.10587,26.08333,6.17258,752.46667,349104.0,0.0,
LAT2,1.0,0.0,1.0,2.0,22.145,1.0,0.09263,19.14881,5.35017,0.0,0.0,0.0,
HCLS1,1.0,0.0,1.0,2.0,21.6,1.0,0.09263,19.14881,5.35017,0.0,0.0,0.0,
FCER1G,4.0,0.0,1.0,8.0,32.296,9.0,0.10587,25.86667,6.08221,1210.0,244480.0,0.0,
SPTBN1,1.0,0.0,1.0,2.0,1.677,1.0,0.01786,1.0,0.05357,0.0,0.0,0.0,
EPB41L3,1.0,0.0,1.0,2.0,1.677,1.0,0.01786,1.0,0.05357,0.0,0.0,0.0,
