"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",95,95,95,916,"1","0.41901"
"2","GO:0000070","mitotic sister chromatid segregation",12,12,12,287,"1","0.00347"
"3","GO:0000082","G1/S transition of mitotic cell cycle",15,15,15,855,"1","0.32954"
"4","GO:0000122","negative regulation of transcription by ...",37,37,37,1062,"1","0.61475"
"5","GO:0000165","MAPK cascade",58,58,58,382,"1","0.01249"
"6","GO:0000187","activation of MAPK activity",13,13,13,699,"1","0.16073"
"7","GO:0000226","microtubule cytoskeleton organization",19,19,19,1017,"1","0.56266"
"8","GO:0000278","mitotic cell cycle",47,47,47,216,"1","0.00079"
"9","GO:0000280","nuclear division",19,19,19,241,"1","0.00135"
"10","GO:0000302","response to reactive oxygen species",14,14,14,664,"1","0.13376"
"11","GO:0000768","syncytium formation by plasma membrane f...",10,10,10,174,"1","0.00026"
"12","GO:0000819","sister chromatid segregation",12,12,12,288,"1","0.00347"
"13","GO:0000902","cell morphogenesis",59,59,59,384,"1","0.01284"
"14","GO:0000904","cell morphogenesis involved in different...",46,46,46,433,"1","0.02264"
"15","GO:0001101","response to acid chemical",15,15,15,1103,"1","0.67868"
"16","GO:0001501","skeletal system development",29,29,29,396,"1","0.01671"
"17","GO:0001503","ossification",37,37,37,591,"1","0.08627"
"18","GO:0001505","regulation of neurotransmitter levels",14,14,14,1460,"1","0.99408"
"19","GO:0001523","retinoid metabolic process",16,16,16,1305,"1","0.89711"
"20","GO:0001525","angiogenesis",38,38,38,478,"1","0.03639"
"21","GO:0001541","ovarian follicle development",10,10,10,1026,"1","0.57590"
"22","GO:0001558","regulation of cell growth",32,32,32,592,"1","0.08635"
"23","GO:0001568","blood vessel development",53,53,53,386,"1","0.01378"
"24","GO:0001649","osteoblast differentiation",19,19,19,539,"1","0.05864"
"25","GO:0001654","eye development",24,24,24,1047,"1","0.59895"
"26","GO:0001655","urogenital system development",25,25,25,1153,"1","0.75249"
"27","GO:0001659","temperature homeostasis",21,21,21,1395,"1","0.96387"
"28","GO:0001666","response to hypoxia",19,19,19,1078,"1","0.63439"
"29","GO:0001667","ameboidal-type cell migration",25,25,25,891,"1","0.39334"
"30","GO:0001676","long-chain fatty acid metabolic process",11,11,11,1472,"1","0.99678"
