#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACACB	ACLY	9606.ENSP00000341044	9606.ENSP00000253792	0	0	0	0	0.646	0	0.800	0.726	0.978
ACACB	FASN	9606.ENSP00000341044	9606.ENSP00000304592	0.056	0	0	0	0.434	0	0.900	0.813	0.988
ACLY	MLXIPL	9606.ENSP00000253792	9606.ENSP00000320886	0	0	0	0	0	0	0.900	0.655	0.964
ACLY	ACACB	9606.ENSP00000253792	9606.ENSP00000341044	0	0	0	0	0.646	0	0.800	0.726	0.978
ACLY	FASN	9606.ENSP00000253792	9606.ENSP00000304592	0	0	0	0	0.793	0.158	0.800	0.920	0.996
ACSL1	SLC27A6	9606.ENSP00000422607	9606.ENSP00000262462	0	0	0	0	0.066	0.149	0	0.949	0.956
ACSL1	FASN	9606.ENSP00000422607	9606.ENSP00000304592	0	0	0	0	0.062	0.068	0.900	0.691	0.969
ACSL1	HELZ2	9606.ENSP00000422607	9606.ENSP00000417401	0.076	0	0	0	0.062	0	0.900	0	0.905
ACSL4	FASN	9606.ENSP00000339787	9606.ENSP00000304592	0	0	0	0	0.062	0	0.900	0.495	0.948
ACTG2	MYH11	9606.ENSP00000386857	9606.ENSP00000379616	0	0	0	0	0.566	0.369	0.600	0.641	0.955
ADH1A	ALDH2	9606.ENSP00000209668	9606.ENSP00000261733	0.049	0	0	0	0.135	0	0.650	0.734	0.913
ADH1A	ADH1B	9606.ENSP00000209668	9606.ENSP00000306606	0	0	0.449	0.985	0.828	0	0.800	0.892	0.964
ADH1B	ADH1A	9606.ENSP00000306606	9606.ENSP00000209668	0	0	0.449	0.985	0.828	0	0.800	0.892	0.964
ADH1B	ALDH2	9606.ENSP00000306606	9606.ENSP00000261733	0.049	0	0	0	0.140	0	0.900	0.916	0.992
ADH1B	ADH1C	9606.ENSP00000306606	9606.ENSP00000426083	0	0	0.449	0.986	0.179	0.660	0.800	0.912	0.940
ADH1C	ALDH2	9606.ENSP00000426083	9606.ENSP00000261733	0.049	0	0	0	0.087	0	0.650	0.853	0.949
ADH1C	ADH1B	9606.ENSP00000426083	9606.ENSP00000306606	0	0	0.449	0.986	0.179	0.660	0.800	0.912	0.940
ADK	AHCY	9606.ENSP00000286621	9606.ENSP00000217426	0.135	0	0	0	0.388	0.788	0	0.730	0.965
ADK	PDE3B	9606.ENSP00000286621	9606.ENSP00000282096	0	0	0	0	0	0	0.900	0.064	0.902
AGPAT2	AGPAT5	9606.ENSP00000360761	9606.ENSP00000285518	0	0	0	0	0.064	0	0.800	0.760	0.951
AGPAT2	AGPAT9	9606.ENSP00000360761	9606.ENSP00000482571	0	0	0	0	0.063	0	0.900	0.816	0.981
AGPAT5	AGPAT2	9606.ENSP00000285518	9606.ENSP00000360761	0	0	0	0	0.064	0	0.800	0.760	0.951
AGPAT5	AGPAT9	9606.ENSP00000285518	9606.ENSP00000482571	0	0	0	0	0	0	0.900	0.749	0.973
AGPAT9	AGPAT5	9606.ENSP00000482571	9606.ENSP00000285518	0	0	0	0	0	0	0.900	0.749	0.973
AGPAT9	AGPAT2	9606.ENSP00000482571	9606.ENSP00000360761	0	0	0	0	0.063	0	0.900	0.816	0.981
AGT	CFTR	9606.ENSP00000355627	9606.ENSP00000003084	0	0	0	0	0	0	0.900	0.147	0.911
AGT	PRKAR2B	9606.ENSP00000355627	9606.ENSP00000265717	0	0	0	0	0	0	0.900	0	0.900
AGT	HELZ2	9606.ENSP00000355627	9606.ENSP00000417401	0.054	0	0	0	0	0	0.900	0	0.901
AGT	CXCL12	9606.ENSP00000355627	9606.ENSP00000379140	0	0	0	0	0.069	0	0.900	0.091	0.907
AHCY	DNMT1	9606.ENSP00000217426	9606.ENSP00000352516	0.071	0	0	0	0.063	0	0.900	0.612	0.961
AHCY	ADK	9606.ENSP00000217426	9606.ENSP00000286621	0.135	0	0	0	0.388	0.788	0	0.730	0.965
ALDH2	ADH1A	9606.ENSP00000261733	9606.ENSP00000209668	0.049	0	0	0	0.135	0	0.650	0.734	0.913
ALDH2	ADH1C	9606.ENSP00000261733	9606.ENSP00000426083	0.049	0	0	0	0.087	0	0.650	0.853	0.949
