#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD5	CD72	9606.ENSP00000342681	9606.ENSP00000379980	0	0	0	0	0.089	0.491	0	0.988	0.994
CD72	CD5	9606.ENSP00000379980	9606.ENSP00000342681	0	0	0	0	0.089	0.491	0	0.988	0.994
DOCK4	RPL14	9606.ENSP00000404179	9606.ENSP00000379506	0.051	0	0	0	0.653	0.768	0	0.303	0.939
GNAI1	PLCG1	9606.ENSP00000343027	9606.ENSP00000244007	0	0	0	0	0	0.118	0.900	0.107	0.914
GNAI1	HLA-DRB1	9606.ENSP00000343027	9606.ENSP00000353099	0	0	0	0	0	0	0.900	0	0.900
HLA-DOA	HLA-DRB1	9606.ENSP00000229829	9606.ENSP00000353099	0	0	0	0.654	0.174	0.212	0.900	0.659	0.945
HLA-DQB1	PLCG1	9606.ENSP00000364080	9606.ENSP00000244007	0	0	0	0	0.063	0	0.900	0	0.902
HLA-DRB1	HLA-DOA	9606.ENSP00000353099	9606.ENSP00000229829	0	0	0	0.654	0.174	0.212	0.900	0.659	0.945
HLA-DRB1	PLCG1	9606.ENSP00000353099	9606.ENSP00000244007	0	0	0	0	0.063	0	0.900	0.045	0.902
HLA-DRB1	GNAI1	9606.ENSP00000353099	9606.ENSP00000343027	0	0	0	0	0	0	0.900	0	0.900
PLCG1	HLA-DRB1	9606.ENSP00000244007	9606.ENSP00000353099	0	0	0	0	0.063	0	0.900	0.045	0.902
PLCG1	HLA-DQB1	9606.ENSP00000244007	9606.ENSP00000364080	0	0	0	0	0.063	0	0.900	0	0.902
PLCG1	GNAI1	9606.ENSP00000244007	9606.ENSP00000343027	0	0	0	0	0	0.118	0.900	0.107	0.914
RPL14	DOCK4	9606.ENSP00000379506	9606.ENSP00000404179	0.051	0	0	0	0.653	0.768	0	0.303	0.939
RSAD2	SAMHD1	9606.ENSP00000371471	9606.ENSP00000262878	0	0	0	0	0.087	0	0.900	0.529	0.953
SAMHD1	RSAD2	9606.ENSP00000262878	9606.ENSP00000371471	0	0	0	0	0.087	0	0.900	0.529	0.953
