#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACACB	ACAT1	9606.ENSP00000341044	9606.ENSP00000265838	0.044	0	0	0	0.062	0	0.900	0.186	0.917
ACADSB	EHHADH	9606.ENSP00000357873	9606.ENSP00000231887	0.049	0	0	0	0.122	0.199	0.900	0.574	0.966
ACADSB	ACAT1	9606.ENSP00000357873	9606.ENSP00000265838	0.055	0	0	0	0.448	0.102	0.900	0.454	0.969
ACAT1	EHHADH	9606.ENSP00000265838	9606.ENSP00000231887	0.057	0.025	0	0	0.127	0.251	0.900	0.565	0.968
ACAT1	ACACB	9606.ENSP00000265838	9606.ENSP00000341044	0.044	0	0	0	0.062	0	0.900	0.186	0.917
ACAT1	ACADSB	9606.ENSP00000265838	9606.ENSP00000357873	0.055	0	0	0	0.448	0.102	0.900	0.454	0.969
ACHE	GHRL	9606.ENSP00000303211	9606.ENSP00000335074	0	0	0	0	0	0	0.900	0.263	0.923
ACTG2	MYH11	9606.ENSP00000386857	9606.ENSP00000379616	0	0	0	0	0.566	0.369	0.600	0.641	0.955
ADCYAP1	VIPR1	9606.ENSP00000462647	9606.ENSP00000327246	0	0	0	0	0	0.318	0.500	0.981	0.993
ADH1B	ALDH2	9606.ENSP00000306606	9606.ENSP00000261733	0.049	0	0	0	0.140	0	0.900	0.916	0.992
ADH1B	AOX1	9606.ENSP00000306606	9606.ENSP00000363832	0	0	0	0	0.109	0	0.900	0.371	0.939
ALDH2	EHHADH	9606.ENSP00000261733	9606.ENSP00000231887	0.042	0	0	0	0.064	0.070	0.900	0.304	0.931
ALDH2	ADH1B	9606.ENSP00000261733	9606.ENSP00000306606	0.049	0	0	0	0.140	0	0.900	0.916	0.992
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.908	0	0	0.446	0.947
ANLN	KIF11	9606.ENSP00000265748	9606.ENSP00000260731	0	0	0	0	0.943	0.070	0	0.493	0.970
ANLN	HMMR	9606.ENSP00000265748	9606.ENSP00000377492	0	0	0	0	0.843	0	0	0.408	0.903
ANLN	PBK	9606.ENSP00000265748	9606.ENSP00000428489	0	0	0	0	0.865	0.062	0	0.345	0.910
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.839	0	0	0.482	0.913
ANLN	KIF4A	9606.ENSP00000265748	9606.ENSP00000363524	0	0	0	0	0.796	0.070	0	0.614	0.920
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.805	0.270	0	0.512	0.924
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.834	0.270	0	0.469	0.930
ANLN	CDK1	9606.ENSP00000265748	9606.ENSP00000378699	0	0	0	0	0.869	0	0	0.547	0.938
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.866	0.296	0	0.428	0.941
ANLN	KIF20A	9606.ENSP00000265748	9606.ENSP00000378356	0	0	0	0	0.855	0.351	0	0.647	0.964
ANXA5	PLEK	9606.ENSP00000296511	9606.ENSP00000234313	0	0	0	0	0	0	0.900	0.261	0.923
