node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
SAMHD1,1.0,0.0,1.0,2.0,1.59,1.0,0.18182,1.0,0.54545,0.0,0.0,0.0,
RSAD2,1.0,0.0,1.0,2.0,1.59,1.0,0.18182,1.0,0.54545,0.0,0.0,0.0,
HLA-DQB1,1.0,0.0,1.0,2.0,2.663,1.0,0.15152,2.33333,1.36364,0.0,0.0,0.0,
HLA-DOA,1.0,0.0,1.0,2.0,2.604,1.0,0.15152,2.33333,1.36364,0.0,0.0,0.0,
HLA-DRB1,3.0,0.61557,2.0,6.0,3.399,2.0,0.22727,3.5,1.70455,6.0,32.0,0.13333,
PLCG1,3.0,0.61557,2.0,6.0,3.406,2.0,0.22727,3.5,1.70455,6.0,32.0,0.13333,
GNAI1,2.0,0.61557,2.0,4.0,3.242,1.0,0.22727,3.0,1.59091,0.0,0.0,0.33333,
RPL14,1.0,0.0,1.0,2.0,1.583,1.0,0.18182,1.0,0.54545,0.0,0.0,0.0,
DOCK4,1.0,0.0,1.0,2.0,1.583,1.0,0.18182,1.0,0.54545,0.0,0.0,0.0,
CD72,1.0,0.0,1.0,2.0,1.581,1.0,0.18182,1.0,0.54545,0.0,0.0,0.0,
CD5,1.0,0.0,1.0,2.0,1.581,1.0,0.18182,1.0,0.54545,0.0,0.0,0.0,
