node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
WIPF2,1.0,0.0,1.0,2.0,6.224,1.0,0.09612,76.38413,5.62944,0.0,0.0,0.0,
TNFSF15,1.0,0.0,1.0,2.0,2.246,1.0,0.0865,65.15794,4.88861,0.0,0.0,0.0,
TNFSF14,1.0,0.0,1.0,2.0,1.219,1.0,0.00442,1.0,0.01327,0.0,0.0,0.0,
TNFRSF14,1.0,0.0,1.0,2.0,1.219,1.0,0.00442,1.0,0.01327,0.0,0.0,0.0,
TFE3,1.0,0.0,1.0,2.0,1.702,1.0,0.0865,65.68571,4.97955,0.0,0.0,0.0,
WWOX,1.0,0.0,1.0,2.0,5.273,1.0,0.09612,80.19444,5.91557,0.0,0.0,0.0,
YKT6,2.0,0.0,1.0,4.0,4.986,2.0,0.0865,67.80437,4.99729,778.0,1276696.0,0.0,
STX10,1.0,0.0,1.0,2.0,2.319,1.0,0.07864,57.20566,4.13447,0.0,0.0,0.0,
SMAD6,1.0,0.0,1.0,2.0,9.795,1.0,0.10813,91.12738,6.39467,0.0,0.0,0.0,
SLC34A3,1.0,0.0,1.0,2.0,8.203,1.0,0.09612,85.36111,6.16621,0.0,0.0,0.0,
RGS3,6.0,0.92693,3.0,6.0,6.555,1.0,0.09612,79.13016,5.78249,0.0,0.0,0.4,
RGS5,6.0,0.92693,3.0,6.0,6.569,1.0,0.09612,79.13016,5.78249,0.0,0.0,0.4,
RGS2,6.0,0.92693,3.0,6.0,5.877,1.0,0.09612,79.13016,5.78249,0.0,0.0,0.4,
TBC1D24,1.0,0.0,1.0,2.0,1.217,1.0,0.00442,1.0,0.01327,0.0,0.0,0.0,
RAB35,1.0,0.0,1.0,2.0,1.217,1.0,0.00442,1.0,0.01327,0.0,0.0,0.0,
PYCR2,1.0,0.0,1.0,2.0,1.195,1.0,0.00442,1.0,0.01327,0.0,0.0,0.0,
PYCR1,1.0,0.0,1.0,2.0,1.195,1.0,0.00442,1.0,0.01327,0.0,0.0,0.0,
PLXNC1,1.0,0.0,1.0,2.0,1.245,1.0,0.00332,1.5,0.01991,0.0,0.0,0.0,
PLEC,1.0,0.0,1.0,2.0,1.322,1.0,0.00332,2.58333,0.04779,0.0,0.0,0.0,
PKN2,1.0,0.0,1.0,2.0,8.136,1.0,0.09612,88.46825,6.27712,0.0,0.0,0.0,
PLCB4,1.0,0.0,1.0,2.0,4.382,1.0,0.09612,71.35833,5.34775,0.0,0.0,0.0,
ST3GAL1,2.0,0.61557,2.0,4.0,1.489,1.0,0.00664,2.0,0.01327,0.0,0.0,0.33333,
PRELP,2.0,0.61557,2.0,4.0,1.478,1.0,0.00664,2.0,0.01327,0.0,0.0,0.33333,
OMD,2.0,0.61557,2.0,4.0,1.473,1.0,0.00664,2.0,0.01327,0.0,0.0,0.33333,
SORT1,1.0,0.0,1.0,2.0,4.457,1.0,0.09612,73.40913,5.49192,0.0,0.0,0.0,
SEMA3C,2.0,0.0,1.0,4.0,1.399,3.0,0.00664,2.0,0.02323,2.0,8.0,0.0,
NRP2,1.0,0.0,1.0,2.0,1.226,1.0,0.00332,1.5,0.01991,0.0,0.0,0.0,
PER3,1.0,0.0,1.0,2.0,1.205,1.0,0.00442,1.0,0.01327,0.0,0.0,0.0,
NR1D2,1.0,0.0,1.0,2.0,1.205,1.0,0.00442,1.0,0.01327,0.0,0.0,0.0,
TRAF4,1.0,0.0,1.0,2.0,5.767,1.0,0.0865,72.50357,5.33222,0.0,0.0,0.0,
NLRC4,1.0,0.0,1.0,2.0,2.824,1.0,0.09612,74.73413,5.62722,0.0,0.0,0.0,
NEK7,12.0,0.94732,4.0,8.0,40.096,1.0,0.09612,88.81627,6.13738,0.88889,104.0,0.35714,
NEK6,12.0,0.94732,4.0,8.0,38.103,1.0,0.09612,88.81627,6.13738,0.88889,104.0,0.35714,
NDFIP2,1.0,0.0,1.0,2.0,5.423,1.0,0.09612,74.18333,5.49636,0.0,0.0,0.0,
MFAP5,1.0,0.0,1.0,2.0,10.02,1.0,0.10813,86.94524,6.22388,0.0,0.0,0.0,
PPARGC1B,1.0,0.0,1.0,2.0,5.733,1.0,0.09612,76.275,5.67158,0.0,0.0,0.0,
MCCC2,1.0,0.0,1.0,2.0,2.449,1.0,0.0865,67.24802,5.05718,0.0,0.0,0.0,
TUBB4B,1.0,0.0,1.0,2.0,5.986,1.0,0.09612,77.34484,5.71151,0.0,0.0,0.0,
TUBB3,1.0,0.0,1.0,2.0,5.743,1.0,0.09612,77.34484,5.71151,0.0,0.0,0.0,
TNPO1,1.0,0.0,1.0,2.0,6.586,1.0,0.09612,85.67897,6.19505,0.0,0.0,0.0,
PHC2,1.0,0.0,1.0,2.0,15.267,1.0,0.10813,103.6369,6.8405,0.0,0.0,0.0,
SPAG9,1.0,0.0,1.0,2.0,16.343,1.0,0.10813,103.6369,6.8405,0.0,0.0,0.0,
USF1,1.0,0.0,1.0,2.0,17.079,1.0,0.10813,103.6369,6.8405,0.0,0.0,0.0,
LASP1,2.0,0.0,1.0,4.0,5.977,2.0,0.10813,88.34881,6.2993,158.53878,60232.0,0.0,
KRT18,1.0,0.0,1.0,2.0,6.215,1.0,0.09612,82.9754,6.06196,0.0,0.0,0.0,
RAB6A,2.0,0.0,1.0,4.0,26.754,1.0,0.10813,96.72381,6.46565,91.55679,26808.0,0.0,
