node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
SERPINE1,1.0,0.0,1.0,2.0,2.108,1.0,0.00968,1.5,0.05806,0.0,0.0,0.0,
RGS5,2.0,0.61557,2.0,4.0,42.122,1.0,0.09176,24.75992,6.07976,0.0,0.0,0.33333,
RGS2,2.0,0.61557,2.0,4.0,41.581,1.0,0.09176,24.75992,6.07976,0.0,0.0,0.33333,
RAD51AP1,1.0,0.0,1.0,2.0,55.404,1.0,0.08258,35.46786,6.92507,0.0,0.0,0.0,
PLA2G4A,1.0,0.0,1.0,2.0,2.438,1.0,0.0086,1.83333,0.08602,0.0,0.0,0.0,
VLDLR,2.0,0.0,1.0,4.0,2.343,3.0,0.01935,2.0,0.06774,2.0,8.0,0.0,
PAFAH1B3,1.0,0.0,1.0,2.0,2.111,1.0,0.00968,1.5,0.05806,0.0,0.0,0.0,
SCD,1.0,0.0,1.0,2.0,42.495,1.0,0.07507,23.0263,5.6701,0.0,0.0,0.0,
NOD2,1.0,0.0,1.0,2.0,47.493,1.0,0.08258,26.3381,6.17079,0.0,0.0,0.0,
TAT,1.0,0.0,1.0,2.0,31.647,1.0,0.09176,25.01706,6.1903,0.0,0.0,0.0,
MFAP5,1.0,0.0,1.0,2.0,1.682,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
MFAP2,1.0,0.0,1.0,2.0,1.682,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
MOGAT1,1.0,0.0,1.0,2.0,46.018,1.0,0.08258,25.2619,6.13828,0.0,0.0,0.0,
KRT8,1.0,0.0,1.0,2.0,1.652,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
KRT18,1.0,0.0,1.0,2.0,1.652,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
NAT8L,1.0,0.0,1.0,2.0,23.025,1.0,0.08258,21.70238,5.43602,0.0,0.0,0.0,
IL4I1,3.0,0.0,1.0,6.0,32.649,6.0,0.09176,26.86706,6.25532,1228.0,1124920.0,0.0,
IFI44L,40320.0,1.63281,8.0,16.0,70.778,1.0,0.08258,29.8381,6.21631,0.0,0.0,0.46667,
WHSC1,1.0,0.0,1.0,2.0,36.907,1.0,0.06882,22.79863,5.37099,0.0,0.0,0.0,
HIST1H4H,2.0,0.0,1.0,4.0,55.044,2.0,0.07507,28.57749,6.1903,252.0,385816.0,0.0,
GPX8,1.0,0.0,1.0,2.0,39.786,1.0,0.08258,26.42738,6.38537,0.0,0.0,0.0,
RGS1,3.0,0.61557,2.0,6.0,48.407,3.0,0.10323,30.63929,6.89256,500.0,97008.0,0.13333,
SOD2,2.0,0.0,1.0,4.0,56.614,2.0,0.09176,33.85238,7.20467,252.0,55384.0,0.0,
POSTN,1.0,0.0,1.0,2.0,34.681,1.0,0.08258,24.05595,5.6636,0.0,0.0,0.0,
SPP1,1.0,0.0,1.0,2.0,35.306,1.0,0.08258,24.05595,5.6636,0.0,0.0,0.0,
GPC3,1.0,0.0,1.0,2.0,26.267,1.0,0.07507,20.83258,4.89632,0.0,0.0,0.0,
SAA1,2.0,0.61557,2.0,4.0,29.852,1.0,0.07507,21.49924,4.90932,0.0,0.0,0.33333,
FGF2,4.0,0.61557,2.0,8.0,35.51,5.0,0.08258,26.30595,5.71562,990.0,2723752.0,0.07143,
FAM83D,1.0,0.0,1.0,2.0,55.1,1.0,0.07507,29.61082,6.24882,0.0,0.0,0.0,
FABP4,1.0,0.0,1.0,2.0,50.107,1.0,0.09176,30.32857,6.90556,0.0,0.0,0.0,
TFPI,1.0,0.0,1.0,2.0,32.289,1.0,0.08258,24.92143,6.11227,0.0,0.0,0.0,
MMP9,3.0,0.61557,2.0,6.0,29.751,2.0,0.07507,21.99924,4.91582,252.0,1089520.0,0.13333,
EPHB1,1.0,0.0,1.0,2.0,21.071,1.0,0.06882,18.13304,4.09652,0.0,0.0,0.0,
EGR3,1.0,0.0,1.0,2.0,50.255,1.0,0.09176,28.54524,6.77551,0.0,0.0,0.0,
EGR2,3.0,0.61557,2.0,6.0,70.282,2.0,0.10323,37.43214,7.59482,252.0,33696.0,0.13333,
FOSB,4.0,0.61795,3.0,6.0,73.69,1.0,0.10323,39.18214,7.67285,26.0,1416.0,0.26667,
F3,2.0,0.0,1.0,4.0,47.921,2.0,0.09176,31.6119,6.93157,252.0,64232.0,0.0,
IFIT3,80640.0,1.67065,9.0,18.0,70.778,1.0,0.09176,35.27857,6.98359,29.5,63864.0,0.45752,
IRF7,80640.0,1.67065,9.0,18.0,70.778,1.0,0.09176,35.27857,6.98359,29.5,63864.0,0.45752,
ISG15,80640.0,1.67065,9.0,18.0,70.778,1.0,0.09176,35.27857,6.98359,29.5,63864.0,0.45752,
OAS1,80640.0,1.67065,9.0,18.0,70.778,1.0,0.09176,35.27857,6.98359,29.5,63864.0,0.45752,
IFI6,80640.0,1.67065,9.0,18.0,70.778,1.0,0.09176,35.27857,6.98359,29.5,63864.0,0.45752,
OAS2,80641.0,1.67065,9.0,20.0,70.778,2.0,0.09176,35.77857,6.99009,281.5,127792.0,0.36842,
RSAD2,80640.0,1.67065,9.0,18.0,70.778,2.0,0.09176,35.27857,6.98359,29.5,63864.0,0.45752,
XAF1,80640.0,1.67065,9.0,18.0,70.778,1.0,0.09176,35.27857,6.98359,29.5,63864.0,0.45752,
EGR1,40323.0,1.63281,8.0,22.0,70.778,13.0,0.10323,43.51548,7.73787,2800.0,925840.0,0.25108,
NRG1,1.0,0.0,1.0,2.0,46.798,1.0,0.11797,33.12143,7.34122,0.0,0.0,0.0,
GPNMB,1.0,0.0,1.0,2.0,48.216,1.0,0.11797,33.12143,7.34122,0.0,0.0,0.0,
EBF1,1.0,0.0,1.0,2.0,52.61,1.0,0.09176,30.32857,6.90556,0.0,0.0,0.0,
LAMA2,48.0,1.16687,5.0,10.0,67.886,1.0,0.10323,29.68571,6.62596,1.5,56.0,0.4,
LAMA3,48.0,1.16687,5.0,10.0,68.045,1.0,0.10323,29.68571,6.62596,1.5,56.0,0.4,
LAMC2,54.0,1.04608,6.0,12.0,68.093,2.0,0.11797,36.37143,7.40625,281.5,97712.0,0.33333,
LAMB1,54.0,1.04608,6.0,12.0,68.093,1.0,0.11797,36.37143,7.40625,281.5,97712.0,0.33333,
DMD,24.0,1.13679,4.0,8.0,67.753,1.0,0.10323,28.93571,6.60645,0.0,0.0,0.42857,
PTGS2,2.0,0.0,1.0,4.0,2.81,2.0,0.0129,2.5,0.10323,4.0,24.0,0.0,
CYP2B6,2.0,0.0,1.0,4.0,2.795,2.0,0.0129,2.5,0.10323,4.0,24.0,0.0,
CYP1B1,1.0,0.0,1.0,2.0,2.419,1.0,0.0086,1.83333,0.08602,0.0,0.0,0.0,
EGFR,12.0,0.92693,3.0,18.0,69.736,128.0,0.13763,46.63333,8.16053,8126.0,7644304.0,0.05229,
MIF,3.0,0.0,1.0,6.0,46.544,8.0,0.10323,31.92024,7.0096,1692.0,1218456.0,0.0,
CXCL2,2.0,0.0,1.0,4.0,49.146,3.0,0.10323,30.70357,6.94458,500.0,142776.0,0.0,
COL6A6,1.0,0.0,1.0,2.0,1.697,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
COL6A3,1.0,0.0,1.0,2.0,1.697,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
COL5A1,2.0,0.61557,2.0,4.0,29.549,1.0,0.07507,20.94924,4.87681,0.0,0.0,0.33333,
PCOLCE,2.0,0.61557,2.0,4.0,28.98,1.0,0.07507,20.94924,4.87681,0.0,0.0,0.33333,
COL1A1,3.0,0.61557,2.0,6.0,35.1,3.0,0.08258,25.38929,5.68961,500.0,1089680.0,0.13333,
NRIP1,3.0,0.61557,2.0,6.0,62.214,2.0,0.08258,28.82738,6.48941,252.0,201696.0,0.13333,
LPL,4.0,0.61557,2.0,8.0,66.864,2.0,0.09176,32.57857,6.95758,414.0,238312.0,0.07143,
CITED2,3.0,0.61557,2.0,6.0,66.977,5.0,0.09176,35.01905,7.24369,406.66667,192096.0,0.13333,
CENPU,2.0,0.61557,2.0,4.0,73.372,1.0,0.08258,35.21786,6.89906,0.0,0.0,0.33333,
MET,31.0,1.03722,5.0,12.0,68.168,5.0,0.11797,36.5381,7.41275,660.0,163048.0,0.24242,
