#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA6	FOXO1	9606.ENSP00000284425	9606.ENSP00000368880	0	0	0	0	0	0	0.900	0.108	0.907
ABHD5	GPAM	9606.ENSP00000390849	9606.ENSP00000265276	0	0	0	0	0	0	0.900	0.466	0.944
ABHD5	AGPAT9	9606.ENSP00000390849	9606.ENSP00000482571	0	0	0	0	0.062	0	0.900	0.484	0.947
ACACB	ALDH6A1	9606.ENSP00000341044	9606.ENSP00000450436	0	0	0	0	0.087	0	0.900	0.308	0.931
ACADL	SLC27A2	9606.ENSP00000233710	9606.ENSP00000267842	0	0	0	0	0	0	0.900	0.524	0.950
ACADM	HADH	9606.ENSP00000359871	9606.ENSP00000474560	0.071	0	0.374	0	0.290	0.389	0	0.688	0.907
ACTG2	MYH11	9606.ENSP00000386857	9606.ENSP00000379616	0	0	0	0	0.566	0.369	0.600	0.641	0.955
ADH1A	ADH1B	9606.ENSP00000209668	9606.ENSP00000306606	0	0	0.449	0.985	0.828	0	0.800	0.892	0.964
ADH1B	ADH1A	9606.ENSP00000306606	9606.ENSP00000209668	0	0	0.449	0.985	0.828	0	0.800	0.892	0.964
ADH1B	ADH1C	9606.ENSP00000306606	9606.ENSP00000426083	0	0	0.449	0.986	0.179	0.660	0.800	0.912	0.940
ADH1B	MAOA	9606.ENSP00000306606	9606.ENSP00000340684	0	0	0	0	0.104	0	0.900	0.409	0.942
ADH1C	ADH1B	9606.ENSP00000426083	9606.ENSP00000306606	0	0	0.449	0.986	0.179	0.660	0.800	0.912	0.940
ADIPOQ	PPARG	9606.ENSP00000389814	9606.ENSP00000287820	0	0	0	0	0.063	0	0.900	0.894	0.989
ADRBK2	CXCR4	9606.ENSP00000317578	9606.ENSP00000386884	0	0	0	0	0	0.353	0.600	0.651	0.901
ADRBK2	F2R	9606.ENSP00000317578	9606.ENSP00000321326	0	0	0	0	0	0	0.900	0.204	0.917
AGPAT9	GPAM	9606.ENSP00000482571	9606.ENSP00000265276	0.056	0	0	0	0.062	0	0.800	0.862	0.972
AGPAT9	ABHD5	9606.ENSP00000482571	9606.ENSP00000390849	0	0	0	0	0.062	0	0.900	0.484	0.947
AGT	SLC9A3R1	9606.ENSP00000355627	9606.ENSP00000262613	0	0	0	0	0.060	0	0.900	0.066	0.904
AGT	GNAI1	9606.ENSP00000355627	9606.ENSP00000343027	0	0	0	0	0	0	0.900	0.043	0.900
AGT	CXCL12	9606.ENSP00000355627	9606.ENSP00000379140	0	0	0	0	0.069	0	0.900	0.091	0.907
AGT	CXCR4	9606.ENSP00000355627	9606.ENSP00000386884	0	0	0	0	0	0.056	0.900	0.138	0.911
AGT	MME	9606.ENSP00000355627	9606.ENSP00000418525	0	0	0	0	0	0.270	0.900	0.463	0.957
ALDH6A1	ACACB	9606.ENSP00000450436	9606.ENSP00000341044	0	0	0	0	0.087	0	0.900	0.308	0.931
ALDH6A1	ECHDC1	9606.ENSP00000450436	9606.ENSP00000436585	0	0	0	0	0.137	0.140	0.900	0.257	0.937
ANK2	SPTBN1	9606.ENSP00000349588	9606.ENSP00000349259	0	0	0	0	0.116	0.463	0.600	0.985	0.996
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.908	0	0	0.446	0.947
ANLN	KIF11	9606.ENSP00000265748	9606.ENSP00000260731	0	0	0	0	0.943	0.070	0	0.493	0.970
ANLN	HMMR	9606.ENSP00000265748	9606.ENSP00000377492	0	0	0	0	0.843	0	0	0.408	0.903
ANLN	PBK	9606.ENSP00000265748	9606.ENSP00000428489	0	0	0	0	0.865	0.062	0	0.345	0.910
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.839	0	0	0.482	0.913
ANLN	KIF4A	9606.ENSP00000265748	9606.ENSP00000363524	0	0	0	0	0.796	0.070	0	0.614	0.920
ANLN	KIF14	9606.ENSP00000265748	9606.ENSP00000356319	0	0	0	0	0.760	0.292	0	0.581	0.922
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.805	0.270	0	0.512	0.924
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.834	0.270	0	0.469	0.930
ANLN	CDK1	9606.ENSP00000265748	9606.ENSP00000378699	0	0	0	0	0.869	0	0	0.547	0.938
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.866	0.296	0	0.428	0.941
ANLN	KIF20A	9606.ENSP00000265748	9606.ENSP00000378356	0	0	0	0	0.855	0.351	0	0.647	0.964
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.982	0	0	0.558	0.992
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.991	0	0	0.528	0.995
ASPM	CCNB1	9606.ENSP00000356379	9606.ENSP00000256442	0	0	0	0	0.952	0.057	0	0.473	0.974
ASPM	KIF11	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.989	0.243	0	0.654	0.996
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.980	0	0	0.194	0.983
ASPM	CENPE	9606.ENSP00000356379	9606.ENSP00000265148	0	0	0	0	0.985	0.243	0	0.546	0.994
ASPM	ANLN	9606.ENSP00000356379	9606.ENSP00000265748	0	0	0	0	0.866	0.296	0	0.428	0.941
ASPM	NUF2	9606.ENSP00000356379	9606.ENSP00000271452	0	0	0	0	0.894	0	0	0.455	0.940
ASPM	CCNA2	9606.ENSP00000356379	9606.ENSP00000274026	0	0	0	0	0.976	0.057	0	0.544	0.988
