"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0030178","negative regulation of Wnt signaling pat...",208,2,0.05,269,"0.00093","0.00056"
"2","GO:0009968","negative regulation of signal transducti...",1243,3,0.3,134,"0.00160","2.8e-05"
"3","GO:0007568","aging",286,2,0.07,761,"0.00175","0.01575"
"4","GO:0010648","negative regulation of cell communicatio...",1357,3,0.33,185,"0.00207","0.00012"
"5","GO:0023057","negative regulation of signaling",1360,3,0.33,181,"0.00208","0.00011"
"6","GO:0051918","negative regulation of fibrinolysis",10,1,0,4239,"0.00242","0.51429"
"7","GO:0033629","negative regulation of cell adhesion med...",11,1,0,3862,"0.00266","0.44156"
"8","GO:0030111","regulation of Wnt signaling pathway",354,2,0.09,1096,"0.00266","0.03903"
"9","GO:0010755","regulation of plasminogen activation",12,1,0,3399,"0.00290","0.35599"
"10","GO:0061043","regulation of vascular wound healing",12,1,0,4065,"0.00290","0.48059"
"11","GO:0003306","Wnt signaling pathway involved in heart ...",13,1,0,2811,"0.00314","0.26156"
"12","GO:0048585","negative regulation of response to stimu...",1595,3,0.39,140,"0.00332","3.4e-05"
"13","GO:0051917","regulation of fibrinolysis",14,1,0,4918,"0.00338","0.64476"
"14","GO:0090399","replicative senescence",14,1,0,3517,"0.00338","0.37798"
"15","GO:0090026","positive regulation of monocyte chemotax...",18,1,0,3352,"0.00435","0.34734"
"16","GO:0061042","vascular wound healing",20,1,0,6039,"0.00483","0.87551"
"17","GO:0036499","PERK-mediated unfolded protein response",21,1,0.01,2264,"0.00507","0.17475"
"18","GO:0140467","integrated stress response signaling",21,1,0.01,2265,"0.00507","0.17475"
"19","GO:0016055","Wnt signaling pathway",495,2,0.12,673,"0.00515","0.01171"
"20","GO:0198738","cell-cell signaling by wnt",497,2,0.12,611,"0.00519","0.00899"
"21","GO:0031639","plasminogen activation",22,1,0.01,3314,"0.00531","0.34005"
"22","GO:0071677","positive regulation of mononuclear cell ...",23,1,0.01,2448,"0.00555","0.20197"
"23","GO:0090025","regulation of monocyte chemotaxis",23,1,0.01,2550,"0.00555","0.22026"
"24","GO:0043567","regulation of insulin-like growth factor...",24,1,0.01,6797,"0.00579","0.99998"
"25","GO:0009888","tissue development",1948,3,0.47,177,"0.00595","9.5e-05"
"26","GO:0042730","fibrinolysis",26,1,0.01,2821,"0.00627","0.26259"
"27","GO:0030194","positive regulation of blood coagulation",27,1,0.01,4042,"0.00651","0.47656"
"28","GO:1900048","positive regulation of hemostasis",27,1,0.01,4043,"0.00651","0.47656"
"29","GO:0050820","positive regulation of coagulation",28,1,0.01,4275,"0.00675","0.52107"
"30","GO:0010955","negative regulation of protein processin...",29,1,0.01,4573,"0.00700","0.57627"
