node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
YKT6,1.0,0.0,1.0,2.0,1.293,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
VAMP8,1.0,0.0,1.0,2.0,1.293,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
RGS5,2.0,0.61557,2.0,4.0,2.409,1.0,0.06565,31.97733,5.07305,0.0,0.0,0.33333,
RGS2,2.0,0.61557,2.0,4.0,2.366,1.0,0.06565,31.97733,5.07305,0.0,0.0,0.33333,
RBP5,1.0,0.0,1.0,2.0,8.146,1.0,0.08535,42.60794,6.86831,0.0,0.0,0.0,
RAD51AP1,3.0,0.61557,2.0,6.0,39.057,1.0,0.08535,58.34603,7.67764,10.87004,800.0,0.13333,
SLITRK3,1.0,0.0,1.0,2.0,1.268,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
PTPRD,1.0,0.0,1.0,2.0,1.268,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
PTGDS,1.0,0.0,1.0,2.0,11.929,1.0,0.09483,46.88849,7.29505,0.0,0.0,0.0,
PRKX,1.0,0.0,1.0,2.0,14.473,1.0,0.08535,48.85873,7.3208,0.0,0.0,0.0,
RRAGD,1.0,0.0,1.0,2.0,6.323,1.0,0.09483,45.57262,7.26562,0.0,0.0,0.0,
SEMA4D,1.0,0.0,1.0,2.0,1.301,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
PLXNC1,1.0,0.0,1.0,2.0,1.301,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
PLA2G16,1.0,0.0,1.0,2.0,1.378,1.0,0.00549,1.5,0.03297,0.0,0.0,0.0,
NXT2,1.0,0.0,1.0,2.0,22.653,1.0,0.08535,50.43175,7.41645,0.0,0.0,0.0,
NR5A2,1.0,0.0,1.0,2.0,17.006,1.0,0.10668,55.87381,8.08231,0.0,0.0,0.0,
PMEPA1,1.0,0.0,1.0,2.0,6.28,1.0,0.08535,40.16627,6.61079,0.0,0.0,0.0,
NDFIP2,1.0,0.0,1.0,2.0,6.186,1.0,0.08535,40.16627,6.61079,0.0,0.0,0.0,
NMRK1,1.0,0.0,1.0,2.0,2.74,1.0,0.07759,36.04062,6.02954,0.0,0.0,0.0,
NAMPT,2.0,0.0,1.0,4.0,5.945,2.0,0.08535,43.24127,6.87934,462.0,452504.0,0.0,
LEPR,2.0,0.0,1.0,4.0,13.407,1.0,0.09483,52.3623,7.79536,77.53133,53624.0,0.0,
SERPINE1,3.0,0.61557,2.0,6.0,5.19,2.0,0.08535,44.01627,6.89038,351.7718,120592.0,0.13333,
LDHD,1.0,0.0,1.0,2.0,15.263,1.0,0.10668,54.7881,8.03816,0.0,0.0,0.0,
RFC1,4.0,0.61795,3.0,6.0,38.007,1.0,0.08535,54.92937,7.59671,0.66667,8.0,0.26667,
SMARCA4,1.0,0.0,1.0,2.0,23.993,1.0,0.10668,62.86905,8.49065,0.0,0.0,0.0,
TJP2,1.0,0.0,1.0,2.0,21.065,1.0,0.10668,62.86905,8.49065,0.0,0.0,0.0,
NEDD4,3.0,0.0,1.0,6.0,17.857,3.0,0.09483,49.7123,7.46059,922.0,270104.0,0.0,
PIK3C2B,3.0,0.61557,2.0,6.0,9.186,3.0,0.07759,44.35523,6.77266,920.0,1946704.0,0.13333,
PIK3R3,2.0,0.61557,2.0,4.0,4.234,1.0,0.07112,36.96017,5.92653,0.0,0.0,0.33333,
INPP4B,2.0,0.61557,2.0,4.0,4.158,1.0,0.07112,36.96017,5.92653,0.0,0.0,0.33333,
