"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",15,15,15,339,"1","0.825"
"2","GO:0000165","MAPK cascade",14,14,14,343,"1","0.837"
"3","GO:0000278","mitotic cell cycle",11,11,11,316,"1","0.785"
"4","GO:0000902","cell morphogenesis",14,14,14,37,"1","0.099"
"5","GO:0000904","cell morphogenesis involved in different...",11,11,11,15,"1","0.021"
"6","GO:0001568","blood vessel development",12,12,12,144,"1","0.408"
"7","GO:0001775","cell activation",44,44,44,26,"1","0.053"
"8","GO:0001816","cytokine production",12,12,12,272,"1","0.696"
"9","GO:0001817","regulation of cytokine production",12,12,12,273,"1","0.696"
"10","GO:0001932","regulation of protein phosphorylation",16,16,16,181,"1","0.477"
"11","GO:0001934","positive regulation of protein phosphory...",14,14,14,208,"1","0.529"
"12","GO:0001944","vasculature development",12,12,12,145,"1","0.408"
"13","GO:0002237","response to molecule of bacterial origin",10,10,10,83,"1","0.256"
"14","GO:0002252","immune effector process",28,28,28,337,"1","0.818"
"15","GO:0002253","activation of immune response",10,10,10,84,"1","0.256"
"16","GO:0002263","cell activation involved in immune respo...",22,22,22,305,"1","0.761"
"17","GO:0002274","myeloid leukocyte activation",21,21,21,58,"1","0.165"
"18","GO:0002275","myeloid cell activation involved in immu...",19,19,19,133,"1","0.397"
"19","GO:0002283","neutrophil activation involved in immune...",18,18,18,220,"1","0.562"
"20","GO:0002366","leukocyte activation involved in immune ...",22,22,22,306,"1","0.761"
"21","GO:0002376","immune system process",54,54,54,35,"1","0.078"
"22","GO:0002443","leukocyte mediated immunity",24,24,24,213,"1","0.549"
"23","GO:0002444","myeloid leukocyte mediated immunity",19,19,19,134,"1","0.397"
"24","GO:0002446","neutrophil mediated immunity",18,18,18,221,"1","0.562"
"25","GO:0002520","immune system development",19,19,19,313,"1","0.776"
"26","GO:0002521","leukocyte differentiation",13,13,13,347,"1","0.849"
"27","GO:0002682","regulation of immune system process",28,28,28,119,"1","0.333"
"28","GO:0002684","positive regulation of immune system pro...",22,22,22,59,"1","0.171"
"29","GO:0002694","regulation of leukocyte activation",15,15,15,283,"1","0.710"
"30","GO:0002696","positive regulation of leukocyte activat...",11,11,11,212,"1","0.545"
