#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA6	FOXO1	9606.ENSP00000284425	9606.ENSP00000368880	0	0	0	0	0	0	0.900	0.108	0.907
ACADL	SLC27A2	9606.ENSP00000233710	9606.ENSP00000267842	0	0	0	0	0	0	0.900	0.524	0.950
ACAP1	PLD1	9606.ENSP00000158762	9606.ENSP00000342793	0	0	0	0	0.063	0.078	0.900	0.049	0.906
ACAT1	ACSS2	9606.ENSP00000265838	9606.ENSP00000253382	0.054	0	0	0	0.109	0	0.900	0.422	0.944
ACAT1	ALDH6A1	9606.ENSP00000265838	9606.ENSP00000450436	0	0	0	0	0.266	0	0.900	0.153	0.932
ACAT1	CS	9606.ENSP00000265838	9606.ENSP00000342056	0.051	0	0	0	0.065	0.130	0.900	0.521	0.956
ACLY	MLXIPL	9606.ENSP00000253792	9606.ENSP00000320886	0	0	0	0	0	0	0.900	0.655	0.964
ACLY	CS	9606.ENSP00000253792	9606.ENSP00000342056	0.135	0	0	0	0.198	0.755	0.800	0.752	0.990
ACLY	FASN	9606.ENSP00000253792	9606.ENSP00000304592	0	0	0	0	0.793	0.158	0.800	0.920	0.996
ACSS2	SIRT1	9606.ENSP00000253382	9606.ENSP00000212015	0	0	0	0	0	0	0.900	0.554	0.953
ACSS2	PCCA	9606.ENSP00000253382	9606.ENSP00000365462	0.071	0	0	0	0.064	0	0.900	0.183	0.919
ACSS2	ACSS3	9606.ENSP00000253382	9606.ENSP00000449535	0	0	0.440	0.820	0	0	0.900	0.808	0.920
ACSS2	ALDH6A1	9606.ENSP00000253382	9606.ENSP00000450436	0	0	0	0	0.117	0	0.900	0.207	0.923
ACSS2	ACAT1	9606.ENSP00000253382	9606.ENSP00000265838	0.054	0	0	0	0.109	0	0.900	0.422	0.944
ACSS2	TFEB	9606.ENSP00000253382	9606.ENSP00000351742	0	0	0	0	0	0	0	0.954	0.954
ACSS2	CS	9606.ENSP00000253382	9606.ENSP00000342056	0.072	0	0	0	0.232	0.078	0.900	0.648	0.972
ACSS3	ACSS2	9606.ENSP00000449535	9606.ENSP00000253382	0	0	0.440	0.820	0	0	0.900	0.808	0.920
ACSS3	PCCA	9606.ENSP00000449535	9606.ENSP00000365462	0.071	0	0	0	0.064	0	0.900	0.378	0.938
ACSS3	ALDH6A1	9606.ENSP00000449535	9606.ENSP00000450436	0	0	0	0	0.117	0	0.900	0.207	0.923
ACTN1	CDH1	9606.ENSP00000377941	9606.ENSP00000261769	0	0	0	0	0	0.345	0.900	0.224	0.944
ACTN1	ZYX	9606.ENSP00000377941	9606.ENSP00000324422	0	0	0	0	0.165	0.518	0.900	0.514	0.977
ACTR3B	WASL	9606.ENSP00000256001	9606.ENSP00000223023	0	0	0	0	0	0.829	0.800	0.451	0.979
ACTR3B	ARPC1B	9606.ENSP00000256001	9606.ENSP00000389631	0	0	0	0	0.065	0.975	0.360	0.443	0.990
ACVR1B	INHBA	9606.ENSP00000442656	9606.ENSP00000242208	0	0	0	0	0	0.714	0.600	0.560	0.945
ACVR1B	INHBB	9606.ENSP00000442656	9606.ENSP00000295228	0	0	0	0	0	0.523	0.600	0.680	0.933
ACVRL1	TGFB1	9606.ENSP00000373574	9606.ENSP00000221930	0	0	0	0	0	0.711	0.900	0.871	0.995
ACVRL1	INHBA	9606.ENSP00000373574	9606.ENSP00000242208	0	0	0	0	0	0.352	0.900	0.160	0.940
ADCY1	EDNRA	9606.ENSP00000297323	9606.ENSP00000315011	0	0	0	0	0.063	0.056	0.900	0	0.903
ADCY1	GNAI1	9606.ENSP00000297323	9606.ENSP00000343027	0	0	0	0	0.062	0.201	0.900	0.289	0.939
ADCY1	ADCY2	9606.ENSP00000297323	9606.ENSP00000342952	0	0	0	0.839	0.109	0.386	0.900	0.665	0.946
ADCY2	ADCY1	9606.ENSP00000342952	9606.ENSP00000297323	0	0	0	0.839	0.109	0.386	0.900	0.665	0.946
ADCY2	EDNRA	9606.ENSP00000342952	9606.ENSP00000315011	0	0	0	0	0.063	0.056	0.900	0.048	0.904
ADCY2	GNAI1	9606.ENSP00000342952	9606.ENSP00000343027	0	0	0	0	0.062	0.201	0.900	0.436	0.952
ADH1C	AOX1	9606.ENSP00000426083	9606.ENSP00000363832	0	0	0	0	0.064	0	0.900	0.286	0.927
ADHFE1	ALDH6A1	9606.ENSP00000379865	9606.ENSP00000450436	0	0	0	0	0.355	0.921	0	0.671	0.981
AGPAT2	GPAM	9606.ENSP00000360761	9606.ENSP00000265276	0.056	0	0	0	0.062	0	0.900	0.832	0.983
AGPAT2	CDS1	9606.ENSP00000360761	9606.ENSP00000295887	0.070	0	0	0	0.084	0	0.900	0.190	0.921
AGPAT2	AGPAT9	9606.ENSP00000360761	9606.ENSP00000482571	0	0	0	0	0.063	0	0.900	0.816	0.981
AGPAT9	GPAM	9606.ENSP00000482571	9606.ENSP00000265276	0.056	0	0	0	0.062	0	0.800	0.862	0.972
