#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AACS	EHHADH	9606.ENSP00000324842	9606.ENSP00000231887	0	0	0	0	0.099	0	0.900	0.131	0.914
AACS	ACAT1	9606.ENSP00000324842	9606.ENSP00000265838	0.054	0	0	0	0.109	0	0.900	0.477	0.950
AADAT	KYNU	9606.ENSP00000423190	9606.ENSP00000264170	0	0	0	0	0.065	0	0.900	0.827	0.982
ABAT	AGXT2	9606.ENSP00000379845	9606.ENSP00000231420	0	0	0	0.582	0.085	0.788	0.900	0.625	0.984
ABAT	EHHADH	9606.ENSP00000379845	9606.ENSP00000231887	0	0	0	0	0.062	0.101	0.900	0.261	0.929
ABAT	ALDH2	9606.ENSP00000379845	9606.ENSP00000261733	0.053	0	0	0	0.110	0.562	0.900	0.235	0.966
ABAT	GLUL	9606.ENSP00000379845	9606.ENSP00000307900	0.075	0	0	0	0.062	0	0.900	0.500	0.950
ABAT	GAD1	9606.ENSP00000379845	9606.ENSP00000350928	0.070	0	0	0	0.215	0.101	0.900	0.676	0.974
ABAT	AOX1	9606.ENSP00000379845	9606.ENSP00000363832	0	0	0	0	0.063	0	0.900	0.107	0.909
ABAT	ALDH6A1	9606.ENSP00000379845	9606.ENSP00000450436	0	0	0	0	0.185	0	0.900	0.578	0.962
ABCA6	FOXO1	9606.ENSP00000284425	9606.ENSP00000368880	0	0	0	0	0	0	0.900	0.108	0.907
ACACB	ACLY	9606.ENSP00000341044	9606.ENSP00000253792	0	0	0	0	0.646	0	0.800	0.726	0.978
ACACB	ACAT1	9606.ENSP00000341044	9606.ENSP00000265838	0.044	0	0	0	0.062	0	0.900	0.186	0.917
ACACB	FASN	9606.ENSP00000341044	9606.ENSP00000304592	0.056	0	0	0	0.434	0	0.900	0.813	0.988
ACACB	ALDH6A1	9606.ENSP00000341044	9606.ENSP00000450436	0	0	0	0	0.087	0	0.900	0.308	0.931
ACADL	EHHADH	9606.ENSP00000233710	9606.ENSP00000231887	0.049	0	0	0	0.122	0.199	0.900	0.628	0.970
ACADL	ACSL4	9606.ENSP00000233710	9606.ENSP00000339787	0.051	0	0	0	0.138	0.137	0.900	0.366	0.947
ACADL	SLC27A2	9606.ENSP00000233710	9606.ENSP00000267842	0	0	0	0	0	0	0.900	0.524	0.950
ACADL	ACSL1	9606.ENSP00000233710	9606.ENSP00000422607	0.051	0	0	0	0.138	0.137	0.900	0.663	0.971
ACADSB	EHHADH	9606.ENSP00000357873	9606.ENSP00000231887	0.049	0	0	0	0.122	0.199	0.900	0.574	0.966
ACADSB	ACAT1	9606.ENSP00000357873	9606.ENSP00000265838	0.055	0	0	0	0.448	0.102	0.900	0.454	0.969
ACADSB	BCKDHB	9606.ENSP00000357873	9606.ENSP00000318351	0	0	0	0	0.083	0.058	0.900	0.433	0.944
ACADSB	DBT	9606.ENSP00000357873	9606.ENSP00000359151	0.047	0	0	0	0.067	0	0.900	0.085	0.907
ACAT1	EHHADH	9606.ENSP00000265838	9606.ENSP00000231887	0.057	0.025	0	0	0.127	0.251	0.900	0.565	0.968
ACAT1	ACACB	9606.ENSP00000265838	9606.ENSP00000341044	0.044	0	0	0	0.062	0	0.900	0.186	0.917
