"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",158,158,158,325,"1","0.00108"
"2","GO:0000018","regulation of DNA recombination",10,10,10,950,"1","0.15914"
"3","GO:0000041","transition metal ion transport",16,16,16,1562,"1","0.57490"
"4","GO:0000070","mitotic sister chromatid segregation",51,51,51,38,"1","2.5e-11"
"5","GO:0000075","cell cycle checkpoint",45,45,45,39,"1","3.9e-11"
"6","GO:0000077","DNA damage checkpoint",25,25,25,103,"1","1.7e-07"
"7","GO:0000079","regulation of cyclin-dependent protein s...",20,20,20,307,"1","0.00082"
"8","GO:0000082","G1/S transition of mitotic cell cycle",49,49,49,41,"1","6.2e-11"
"9","GO:0000086","G2/M transition of mitotic cell cycle",45,45,45,99,"1","1.2e-07"
"10","GO:0000096","sulfur amino acid metabolic process",13,13,13,2130,"1","0.99232"
"11","GO:0000122","negative regulation of transcription by ...",84,84,84,979,"1","0.17970"
"12","GO:0000165","MAPK cascade",91,91,91,1006,"1","0.18958"
"13","GO:0000187","activation of MAPK activity",14,14,14,837,"1","0.10553"
"14","GO:0000209","protein polyubiquitination",29,29,29,368,"1","0.00233"
"15","GO:0000226","microtubule cytoskeleton organization",91,91,91,22,"1","1.0e-15"
"16","GO:0000278","mitotic cell cycle",183,183,183,1,"1","< 1e-30"
"17","GO:0000280","nuclear division",90,90,90,14,"1","1.1e-18"
"18","GO:0000281","mitotic cytokinesis",15,15,15,263,"1","0.00023"
"19","GO:0000302","response to reactive oxygen species",38,38,38,1272,"1","0.34734"
"20","GO:0000375","RNA splicing, via transesterification re...",17,17,17,696,"1","0.05239"
"21","GO:0000377","RNA splicing, via transesterification re...",17,17,17,697,"1","0.05239"
"22","GO:0000398","mRNA splicing, via spliceosome",17,17,17,698,"1","0.05239"
"23","GO:0000723","telomere maintenance",16,16,16,339,"1","0.00133"
"24","GO:0000724","double-strand break repair via homologou...",21,21,21,337,"1","0.00130"
"25","GO:0000725","recombinational repair",22,22,22,305,"1","0.00081"
"26","GO:0000819","sister chromatid segregation",55,55,55,31,"1","3.0e-12"
"27","GO:0000902","cell morphogenesis",102,102,102,545,"1","0.01888"
"28","GO:0000904","cell morphogenesis involved in different...",77,77,77,566,"1","0.02165"
"29","GO:0000910","cytokinesis",22,22,22,149,"1","3.5e-06"
"30","GO:0001101","response to acid chemical",26,26,26,1273,"1","0.34838"
