"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",13,13,13,164,"1","0.95"
"2","GO:0000122","negative regulation of transcription by ...",10,10,10,32,"1","0.56"
"3","GO:0000165","MAPK cascade",14,14,14,246,"1","0.98"
"4","GO:0000902","cell morphogenesis",12,12,12,263,"1","0.98"
"5","GO:0001501","skeletal system development",12,12,12,102,"1","0.89"
"6","GO:0001503","ossification",13,13,13,208,"1","0.97"
"7","GO:0001525","angiogenesis",15,15,15,58,"1","0.74"
"8","GO:0001568","blood vessel development",16,16,16,191,"1","0.96"
"9","GO:0001667","ameboidal-type cell migration",11,11,11,154,"1","0.94"
"10","GO:0001775","cell activation",20,20,20,340,"1","1.00"
"11","GO:0001816","cytokine production",14,14,14,95,"1","0.88"
"12","GO:0001817","regulation of cytokine production",11,11,11,310,"1","0.99"
"13","GO:0001932","regulation of protein phosphorylation",24,24,24,101,"1","0.89"
"14","GO:0001933","negative regulation of protein phosphory...",11,11,11,69,"1","0.79"
"15","GO:0001934","positive regulation of protein phosphory...",13,13,13,255,"1","0.98"
"16","GO:0001944","vasculature development",16,16,16,192,"1","0.96"
"17","GO:0002009","morphogenesis of an epithelium",11,11,11,122,"1","0.91"
"18","GO:0002252","immune effector process",15,15,15,308,"1","0.99"
"19","GO:0002263","cell activation involved in immune respo...",12,12,12,312,"1","1.00"
"20","GO:0002274","myeloid leukocyte activation",12,12,12,313,"1","1.00"
"21","GO:0002275","myeloid cell activation involved in immu...",11,11,11,317,"1","1.00"
"22","GO:0002283","neutrophil activation involved in immune...",11,11,11,318,"1","1.00"
"23","GO:0002366","leukocyte activation involved in immune ...",12,12,12,314,"1","1.00"
"24","GO:0002376","immune system process",35,35,35,326,"1","1.00"
"25","GO:0002443","leukocyte mediated immunity",12,12,12,315,"1","1.00"
"26","GO:0002444","myeloid leukocyte mediated immunity",11,11,11,319,"1","1.00"
"27","GO:0002446","neutrophil mediated immunity",11,11,11,320,"1","1.00"
"28","GO:0002520","immune system development",10,10,10,172,"1","0.95"
"29","GO:0002682","regulation of immune system process",13,13,13,344,"1","1.00"
"30","GO:0003006","developmental process involved in reprod...",10,10,10,120,"1","0.91"
