node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
TMEM176B,1.0,0.0,1.0,2.0,1.561,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
TMEM176A,1.0,0.0,1.0,2.0,1.561,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
SMARCA4,1.0,0.0,1.0,2.0,17.623,1.0,0.05713,22.17395,5.12617,0.0,0.0,0.0,
RGS5,1.0,0.0,1.0,2.0,1.581,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
RGS2,1.0,0.0,1.0,2.0,1.581,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
RAD51AP1,2.0,0.0,1.0,4.0,58.128,1.0,0.06856,38.7873,6.64273,7.45313,3160.0,0.0,
PPP1R1B,1.0,0.0,1.0,2.0,45.646,1.0,0.06856,34.48135,6.60118,0.0,0.0,0.0,
SMARCD1,2.0,0.0,1.0,4.0,32.624,2.0,0.06232,27.06793,5.80654,262.0,106280.0,0.0,
TIMM23,1.0,0.0,1.0,2.0,1.572,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
PMPCB,1.0,0.0,1.0,2.0,1.572,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
SERPINE2,2.0,0.61557,2.0,4.0,16.086,1.0,0.05713,20.81097,4.25883,0.0,0.0,0.33333,
SRPX2,1.0,0.0,1.0,2.0,13.698,1.0,0.05713,20.1443,4.24844,0.0,0.0,0.0,
PHYH,1.0,0.0,1.0,2.0,1.859,1.0,0.00773,1.5,0.04639,0.0,0.0,0.0,
PFKFB4,1.0,0.0,1.0,2.0,1.584,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
PFKFB3,1.0,0.0,1.0,2.0,1.584,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
VLDLR,3.0,0.61557,2.0,6.0,17.328,2.0,0.05713,21.47763,4.26921,262.0,1438432.0,0.13333,
PAFAH1B3,1.0,0.0,1.0,2.0,10.283,1.0,0.05274,17.70331,3.58884,0.0,0.0,0.0,
RPL29,1.0,0.0,1.0,2.0,32.454,1.0,0.06232,26.79015,5.66632,0.0,0.0,0.0,
NRXN3,1.0,0.0,1.0,2.0,1.569,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
NLGN1,1.0,0.0,1.0,2.0,1.569,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
NEK7,720.0,1.42647,6.0,12.0,84.438,1.0,0.06232,36.70126,6.41421,0.0,0.0,0.45455,
NEK6,720.0,1.42647,6.0,12.0,84.742,1.0,0.06232,36.70126,6.41421,0.0,0.0,0.45455,
SIRT5,1.0,0.0,1.0,2.0,1.549,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
NAMPT,1.0,0.0,1.0,2.0,1.549,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
YEATS4,1.0,0.0,1.0,2.0,1.543,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
MRGBP,1.0,0.0,1.0,2.0,1.543,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
NOTCH1,1.0,0.0,1.0,2.0,1.57,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
MFAP5,1.0,0.0,1.0,2.0,1.57,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
METTL1,1.0,0.0,1.0,2.0,31.291,1.0,0.06232,26.95682,5.67151,0.0,0.0,0.0,
PLAUR,6.0,0.61795,3.0,10.0,21.068,7.0,0.06232,25.53301,4.92881,1524.0,5753488.0,0.08889,
PLA2G4A,1.0,0.0,1.0,2.0,45.054,1.0,0.0857,32.66667,6.61676,0.0,0.0,0.0,
SERPINE1,5.0,0.61795,3.0,8.0,18.171,2.0,0.05713,21.97763,4.27441,264.0,1438432.0,0.14286,
LDLR,1.0,0.0,1.0,2.0,11.573,1.0,0.05274,17.86997,3.59403,0.0,0.0,0.0,
SAA1,2.0,0.61557,2.0,4.0,34.33,1.0,0.07617,27.36429,5.89484,0.0,0.0,0.33333,
LBP,2.0,0.61557,2.0,4.0,33.22,1.0,0.07617,27.36429,5.89484,0.0,0.0,0.33333,
LAMA3,2.0,0.61557,2.0,4.0,24.436,1.0,0.06232,22.86634,4.87168,0.0,0.0,0.33333,
KRT18,1.0,0.0,1.0,2.0,27.597,1.0,0.06232,25.15642,5.64554,0.0,0.0,0.0,
KITLG,3.0,0.0,1.0,6.0,64.639,22.0,0.09794,39.27857,7.03745,3816.99829,8083928.0,0.0,
RFC5,2.0,0.0,1.0,4.0,60.002,1.0,0.06856,35.42063,6.51289,1.0,8.0,0.0,
IGFBP5,1.0,0.0,1.0,2.0,25.218,1.0,0.06232,26.83936,5.86887,0.0,0.0,0.0,
IFITM1,24.0,1.13679,4.0,8.0,4.637,1.0,0.02577,4.0,0.03866,0.0,0.0,0.42857,
IFITM3,24.0,1.13679,4.0,8.0,4.613,1.0,0.02577,4.0,0.03866,0.0,0.0,0.42857,
IFITM2,24.0,1.13679,4.0,8.0,4.648,1.0,0.02577,4.0,0.03866,0.0,0.0,0.42857,
OAS2,24.0,1.13679,4.0,8.0,4.667,1.0,0.02577,4.0,0.03866,0.0,0.0,0.42857,
IFI6,24.0,1.13679,4.0,8.0,4.629,1.0,0.02577,4.0,0.03866,0.0,0.0,0.42857,
MANF,1.0,0.0,1.0,2.0,1.874,1.0,0.00773,1.5,0.04639,0.0,0.0,0.0,
SEC61A1,1.0,0.0,1.0,2.0,1.891,1.0,0.00773,1.5,0.04639,0.0,0.0,0.0,
HYOU1,2.0,0.0,1.0,4.0,2.131,3.0,0.01546,2.0,0.05412,2.0,8.0,0.0,
TFRC,1.0,0.0,1.0,2.0,50.515,1.0,0.06856,32.24444,6.35188,0.0,0.0,0.0,
WDR5,1.0,0.0,1.0,2.0,1.552,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
HNMT,1.0,0.0,1.0,2.0,1.552,1.0,0.01031,1.0,0.03093,0.0,0.0,0.0,
TRIB3,1.0,0.0,1.0,2.0,38.582,1.0,0.06232,28.07031,5.98313,0.0,0.0,0.0,
PTPRK,1.0,0.0,1.0,2.0,15.301,1.0,0.06856,22.48532,5.21966,0.0,0.0,0.0,
HBEGF,2.0,0.0,1.0,4.0,25.296,2.0,0.07617,27.53095,5.90003,262.0,205608.0,0.0,
