#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABAT	ALDH2	9606.ENSP00000379845	9606.ENSP00000261733	0.053	0	0	0	0.110	0.562	0.900	0.235	0.966
ABAT	GAD1	9606.ENSP00000379845	9606.ENSP00000350928	0.070	0	0	0	0.215	0.101	0.900	0.676	0.974
ABAT	AOX1	9606.ENSP00000379845	9606.ENSP00000363832	0	0	0	0	0.063	0	0.900	0.107	0.909
ACACB	HLCS	9606.ENSP00000341044	9606.ENSP00000382071	0.185	0	0	0	0.492	0.420	0.900	0.590	0.988
ACADL	ACSL4	9606.ENSP00000233710	9606.ENSP00000339787	0.051	0	0	0	0.138	0.137	0.900	0.366	0.947
ACADL	SLC27A2	9606.ENSP00000233710	9606.ENSP00000267842	0	0	0	0	0	0	0.900	0.524	0.950
ACADL	ACSL1	9606.ENSP00000233710	9606.ENSP00000422607	0.051	0	0	0	0.138	0.137	0.900	0.663	0.971
ACHE	GPCPD1	9606.ENSP00000303211	9606.ENSP00000368305	0	0	0	0	0	0	0.900	0.066	0.902
ACSL1	ACADL	9606.ENSP00000422607	9606.ENSP00000233710	0.051	0	0	0	0.138	0.137	0.900	0.663	0.971
ACSL4	ACADL	9606.ENSP00000339787	9606.ENSP00000233710	0.051	0	0	0	0.138	0.137	0.900	0.366	0.947
ACVR1B	INHBA	9606.ENSP00000442656	9606.ENSP00000242208	0	0	0	0	0	0.714	0.600	0.560	0.945
ADCY2	EDNRA	9606.ENSP00000342952	9606.ENSP00000315011	0	0	0	0	0.063	0.056	0.900	0.048	0.904
ADH1C	CYP26A1	9606.ENSP00000426083	9606.ENSP00000224356	0.044	0	0	0	0.062	0	0.900	0.277	0.926
ADH1C	ALDH2	9606.ENSP00000426083	9606.ENSP00000261733	0.049	0	0	0	0.087	0	0.650	0.853	0.949
ADH1C	AOX1	9606.ENSP00000426083	9606.ENSP00000363832	0	0	0	0	0.064	0	0.900	0.286	0.927
ADIPOQ	PPARGC1A	9606.ENSP00000389814	9606.ENSP00000264867	0	0	0	0	0	0	0.900	0.745	0.973
ADIPOQ	PPARG	9606.ENSP00000389814	9606.ENSP00000287820	0	0	0	0	0.063	0	0.900	0.894	0.989
AGRN	HS3ST1	9606.ENSP00000368678	9606.ENSP00000002596	0	0	0	0	0.051	0	0.900	0.382	0.936
AGRN	LAMA4	9606.ENSP00000368678	9606.ENSP00000230538	0	0	0	0.539	0.062	0.110	0.900	0.316	0.921
AGRN	LAMC2	9606.ENSP00000368678	9606.ENSP00000264144	0	0	0	0.542	0	0.110	0.900	0.123	0.910
AGRN	LRP12	9606.ENSP00000368678	9606.ENSP00000276654	0	0	0	0	0	0	0.900	0	0.900
AGRN	DMD	9606.ENSP00000368678	9606.ENSP00000354923	0	0	0	0	0.062	0.281	0.900	0.901	0.992
AGRN	LAMA2	9606.ENSP00000368678	9606.ENSP00000400365	0	0	0	0.539	0.062	0.110	0.900	0.659	0.936
AGT	CFTR	9606.ENSP00000355627	9606.ENSP00000003084	0	0	0	0	0	0	0.900	0.147	0.911
AGT	SLC9A3R1	9606.ENSP00000355627	9606.ENSP00000262613	0	0	0	0	0.060	0	0.900	0.066	0.904
AGT	PRG2	9606.ENSP00000355627	9606.ENSP00000312134	0	0	0	0	0	0.226	0	0.957	0.966
AGT	EDNRA	9606.ENSP00000355627	9606.ENSP00000315011	0	0	0	0	0.061	0.056	0.800	0.542	0.907
AGT	CXCL12	9606.ENSP00000355627	9606.ENSP00000379140	0	0	0	0	0.069	0	0.900	0.091	0.907
AGT	CXCR4	9606.ENSP00000355627	9606.ENSP00000386884	0	0	0	0	0	0.056	0.900	0.138	0.911
AGT	MME	9606.ENSP00000355627	9606.ENSP00000418525	0	0	0	0	0	0.270	0.900	0.463	0.957
AHCY	DNMT1	9606.ENSP00000217426	9606.ENSP00000352516	0.071	0	0	0	0.063	0	0.900	0.612	0.961
AHCY	BHMT2	9606.ENSP00000217426	9606.ENSP00000255192	0.089	0	0	0	0.062	0	0.900	0.620	0.963
AKT3	GSK3A	9606.ENSP00000263826	9606.ENSP00000222330	0	0	0	0.575	0.051	0.181	0.900	0.634	0.937
AKT3	PPP2R5A	9606.ENSP00000263826	9606.ENSP00000261461	0	0	0	0	0.064	0.347	0.900	0.194	0.944
AKT3	PIK3R3	9606.ENSP00000263826	9606.ENSP00000262741	0	0	0	0	0.062	0.102	0.650	0.707	0.902
AKT3	MAP3K8	9606.ENSP00000263826	9606.ENSP00000263056	0	0	0.334	0.564	0.058	0.064	0.900	0.176	0.921
AKT3	CBFB	9606.ENSP00000263826	9606.ENSP00000415151	0	0	0	0	0.049	0	0.900	0.112	0.908
AKT3	PPP2R1B	9606.ENSP00000263826	9606.ENSP00000311344	0	0	0	0	0.064	0	0.900	0.107	0.909
AKT3	CDKN1A	9606.ENSP00000263826	9606.ENSP00000384849	0	0	0	0	0	0.059	0.900	0.333	0.931
AKT3	CREB1	9606.ENSP00000263826	9606.ENSP00000387699	0	0	0	0	0.064	0	0.900	0.390	0.937
AKT3	FOXO1	9606.ENSP00000263826	9606.ENSP00000368880	0	0	0	0	0.048	0.151	0.900	0.512	0.955
ALAS2	GLDC	9606.ENSP00000332369	9606.ENSP00000370737	0	0	0	0	0.062	0	0.900	0.190	0.917
ALDH1L1	MTHFD1	9606.ENSP00000273450	9606.ENSP00000216605	0	0	0	0	0.065	0	0.900	0.597	0.959
ALDH2	ADH1C	9606.ENSP00000261733	9606.ENSP00000426083	0.049	0	0	0	0.087	0	0.650	0.853	0.949
ALDH2	MAOA	9606.ENSP00000261733	9606.ENSP00000340684	0	0	0	0	0.064	0	0.900	0.623	0.961
ALDH2	ABAT	9606.ENSP00000261733	9606.ENSP00000379845	0.053	0	0	0	0.110	0.562	0.900	0.235	0.966
ANK2	PPP2R5A	9606.ENSP00000349588	9606.ENSP00000261461	0	0	0	0	0.062	0.102	0	0.978	0.980
ANK2	SPTBN1	9606.ENSP00000349588	9606.ENSP00000349259	0	0	0	0	0.116	0.463	0.600	0.985	0.996
ANK2	NRCAM	9606.ENSP00000349588	9606.ENSP00000368314	0	0	0	0	0.171	0.386	0.600	0.745	0.941
AOX1	CYP3A5	9606.ENSP00000363832	9606.ENSP00000222982	0	0	0	0	0.086	0	0.900	0.227	0.923
AOX1	CYP26A1	9606.ENSP00000363832	9606.ENSP00000224356	0	0	0	0	0.049	0	0.900	0.162	0.913
AOX1	CYP2B6	9606.ENSP00000363832	9606.ENSP00000324648	0	0	0	0	0.065	0	0.900	0.362	0.935
AOX1	MAOA	9606.ENSP00000363832	9606.ENSP00000340684	0	0	0	0	0.096	0	0.900	0.336	0.934
AOX1	ABAT	9606.ENSP00000363832	9606.ENSP00000379845	0	0	0	0	0.063	0	0.900	0.107	0.909
AOX1	ADH1C	9606.ENSP00000363832	9606.ENSP00000426083	0	0	0	0	0.064	0	0.900	0.286	0.927
ASPH	JUN	9606.ENSP00000368767	9606.ENSP00000360266	0	0	0	0	0	0	0.900	0.101	0.906
ASPH	CREB1	9606.ENSP00000368767	9606.ENSP00000387699	0	0	0	0	0	0	0.900	0.094	0.905
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.982	0	0	0.558	0.992
ASPM	NCAPG	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.991	0	0	0.528	0.995
ASPM	CCNB1	9606.ENSP00000356379	9606.ENSP00000256442	0	0	0	0	0.952	0.057	0	0.473	0.974
ASPM	KIF11	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.989	0.243	0	0.654	0.996
ASPM	NDC80	9606.ENSP00000356379	9606.ENSP00000261597	0	0	0	0	0.980	0	0	0.194	0.983
ASPM	CENPE	9606.ENSP00000356379	9606.ENSP00000265148	0	0	0	0	0.985	0.243	0	0.546	0.994
ASPM	PLK4	9606.ENSP00000356379	9606.ENSP00000270861	0	0	0	0	0.821	0.394	0	0.389	0.928
ASPM	CCNA2	9606.ENSP00000356379	9606.ENSP00000274026	0	0	0	0	0.976	0.057	0	0.544	0.988
ASPM	CCNB2	9606.ENSP00000356379	9606.ENSP00000288207	0	0	0	0	0.909	0.057	0	0.518	0.955
ASPM	MELK	9606.ENSP00000356379	9606.ENSP00000298048	0	0	0	0	0.924	0.075	0	0.450	0.958
ASPM	KIAA0101	9606.ENSP00000356379	9606.ENSP00000300035	0	0	0	0	0.907	0	0	0.475	0.949
ASPM	TPX2	9606.ENSP00000356379	9606.ENSP00000300403	0	0	0	0	0.966	0	0	0.458	0.981
ASPM	BIRC5	9606.ENSP00000356379	9606.ENSP00000301633	0	0	0	0	0.893	0.058	0	0.473	0.942
ASPM	CDKN3	9606.ENSP00000356379	9606.ENSP00000335357	0	0	0	0	0.897	0.145	0	0.197	0.923
