"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",427,427,427,311,"1","0.00076"
"2","GO:0000018","regulation of DNA recombination",26,26,26,1254,"1","0.06684"
"3","GO:0000041","transition metal ion transport",40,40,40,1476,"1","0.10065"
"4","GO:0000045","autophagosome assembly",13,13,13,2580,"1","0.35848"
"5","GO:0000070","mitotic sister chromatid segregation",54,54,54,289,"1","0.00055"
"6","GO:0000075","cell cycle checkpoint",67,67,67,325,"1","0.00084"
"7","GO:0000077","DNA damage checkpoint",37,37,37,2109,"1","0.22571"
"8","GO:0000079","regulation of cyclin-dependent protein s...",37,37,37,899,"1","0.02632"
"9","GO:0000082","G1/S transition of mitotic cell cycle",78,78,78,1120,"1","0.05116"
"10","GO:0000083","regulation of transcription involved in ...",17,17,17,650,"1","0.00989"
"11","GO:0000086","G2/M transition of mitotic cell cycle",58,58,58,1155,"1","0.05601"
"12","GO:0000096","sulfur amino acid metabolic process",13,13,13,3826,"1","0.99996"
"13","GO:0000122","negative regulation of transcription by ...",281,281,281,1808,"1","0.15887"
"14","GO:0000132","establishment of mitotic spindle orienta...",13,13,13,1679,"1","0.13391"
"15","GO:0000165","MAPK cascade",265,265,265,1604,"1","0.12150"
"16","GO:0000184","nuclear-transcribed mRNA catabolic proce...",13,13,13,2906,"1","0.47670"
"17","GO:0000186","activation of MAPKK activity",20,20,20,3550,"1","0.78869"
"18","GO:0000187","activation of MAPK activity",49,49,49,2294,"1","0.27286"
"19","GO:0000209","protein polyubiquitination",77,77,77,1432,"1","0.09191"
"20","GO:0000226","microtubule cytoskeleton organization",184,184,184,170,"1","5.9e-05"
"21","GO:0000245","spliceosomal complex assembly",14,14,14,3222,"1","0.61387"
"22","GO:0000266","mitochondrial fission",15,15,15,2521,"1","0.34015"
"23","GO:0000271","polysaccharide biosynthetic process",24,24,24,3110,"1","0.56586"
"24","GO:0000278","mitotic cell cycle",289,289,289,197,"1","0.00011"
"25","GO:0000280","nuclear division",124,124,124,213,"1","0.00015"
"26","GO:0000281","mitotic cytokinesis",16,16,16,1035,"1","0.04190"
"27","GO:0000288","nuclear-transcribed mRNA catabolic proce...",15,15,15,2492,"1","0.32707"
"28","GO:0000302","response to reactive oxygen species",81,81,81,3320,"1","0.65863"
"29","GO:0000375","RNA splicing, via transesterification re...",63,63,63,2997,"1","0.51403"
"30","GO:0000377","RNA splicing, via transesterification re...",63,63,63,2998,"1","0.51403"
