"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",74,74,74,144,"1","0.0076"
"2","GO:0000070","mitotic sister chromatid segregation",34,34,34,13,"1","2.4e-11"
"3","GO:0000075","cell cycle checkpoint",22,22,22,45,"1","9.4e-06"
"4","GO:0000082","G1/S transition of mitotic cell cycle",21,21,21,168,"1","0.0282"
"5","GO:0000086","G2/M transition of mitotic cell cycle",22,22,22,37,"1","5.0e-06"
"6","GO:0000122","negative regulation of transcription by ...",39,39,39,756,"1","0.6830"
"7","GO:0000165","MAPK cascade",45,45,45,1168,"1","0.9601"
"8","GO:0000187","activation of MAPK activity",12,12,12,396,"1","0.3423"
"9","GO:0000209","protein polyubiquitination",11,11,11,202,"1","0.0746"
"10","GO:0000226","microtubule cytoskeleton organization",44,44,44,36,"1","4.3e-06"
"11","GO:0000278","mitotic cell cycle",85,85,85,1,"1","2.8e-19"
"12","GO:0000280","nuclear division",52,52,52,6,"1","3.5e-15"
"13","GO:0000281","mitotic cytokinesis",12,12,12,38,"1","5.8e-06"
"14","GO:0000302","response to reactive oxygen species",20,20,20,595,"1","0.5316"
"15","GO:0000819","sister chromatid segregation",36,36,36,12,"1","5.1e-12"
"16","GO:0000902","cell morphogenesis",52,52,52,698,"1","0.6357"
"17","GO:0000904","cell morphogenesis involved in different...",37,37,37,507,"1","0.4546"
"18","GO:0000910","cytokinesis",16,16,16,28,"1","1.5e-06"
"19","GO:0001501","skeletal system development",34,34,34,304,"1","0.2087"
"20","GO:0001503","ossification",32,32,32,326,"1","0.2382"
"21","GO:0001525","angiogenesis",43,43,43,659,"1","0.6063"
"22","GO:0001558","regulation of cell growth",23,23,23,1041,"1","0.8977"
"23","GO:0001568","blood vessel development",54,54,54,816,"1","0.7373"
"24","GO:0001649","osteoblast differentiation",14,14,14,471,"1","0.4306"
"25","GO:0001654","eye development",21,21,21,1079,"1","0.9193"
"26","GO:0001655","urogenital system development",21,21,21,1207,"1","0.9769"
"27","GO:0001659","temperature homeostasis",15,15,15,1290,"1","0.9999"
"28","GO:0001666","response to hypoxia",22,22,22,1211,"1","0.9792"
"29","GO:0001667","ameboidal-type cell migration",31,31,31,748,"1","0.6778"
"30","GO:0001701","in utero embryonic development",15,15,15,183,"1","0.0490"
