"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",51,51,51,440,"1","0.5470"
"2","GO:0000122","negative regulation of transcription by ...",31,31,31,774,"1","0.8525"
"3","GO:0000165","MAPK cascade",46,46,46,657,"1","0.7561"
"4","GO:0000226","microtubule cytoskeleton organization",13,13,13,341,"1","0.4256"
"5","GO:0000278","mitotic cell cycle",18,18,18,758,"1","0.8424"
"6","GO:0000902","cell morphogenesis",51,51,51,961,"1","0.9704"
"7","GO:0000904","cell morphogenesis involved in different...",42,42,42,869,"1","0.9197"
"8","GO:0001501","skeletal system development",41,41,41,650,"1","0.7485"
"9","GO:0001503","ossification",35,35,35,80,"1","0.0977"
"10","GO:0001508","action potential",13,13,13,932,"1","0.9525"
"11","GO:0001523","retinoid metabolic process",11,11,11,10,"1","0.0025"
"12","GO:0001525","angiogenesis",49,49,49,984,"1","0.9844"
"13","GO:0001558","regulation of cell growth",25,25,25,500,"1","0.6113"
"14","GO:0001568","blood vessel development",60,60,60,1019,"1","0.9927"
"15","GO:0001649","osteoblast differentiation",21,21,21,91,"1","0.1122"
"16","GO:0001654","eye development",22,22,22,23,"1","0.0061"
"17","GO:0001655","urogenital system development",27,27,27,541,"1","0.6478"
"18","GO:0001656","metanephros development",10,10,10,55,"1","0.0675"
"19","GO:0001657","ureteric bud development",11,11,11,174,"1","0.2271"
"20","GO:0001659","temperature homeostasis",12,12,12,226,"1","0.2859"
"21","GO:0001666","response to hypoxia",17,17,17,548,"1","0.6591"
"22","GO:0001667","ameboidal-type cell migration",34,34,34,965,"1","0.9733"
"23","GO:0001701","in utero embryonic development",13,13,13,606,"1","0.7075"
"24","GO:0001704","formation of primary germ layer",10,10,10,564,"1","0.6724"
"25","GO:0001763","morphogenesis of a branching structure",21,21,21,610,"1","0.7089"
"26","GO:0001775","cell activation",61,61,61,436,"1","0.5401"
"27","GO:0001816","cytokine production",42,42,42,874,"1","0.9241"
"28","GO:0001817","regulation of cytokine production",39,39,39,951,"1","0.9661"
"29","GO:0001818","negative regulation of cytokine producti...",21,21,21,1038,"1","0.9973"
"30","GO:0001819","positive regulation of cytokine producti...",23,23,23,631,"1","0.7289"
