"","GO.ID","Term","Annotated","Significant","Expected","Rank in KS","classic","KS"
"1","GO:0000003","reproduction",98,98,98,128,"1","0.01902"
"2","GO:0000070","mitotic sister chromatid segregation",23,23,23,12,"1","4.8e-09"
"3","GO:0000075","cell cycle checkpoint",21,21,21,15,"1","1.9e-08"
"4","GO:0000082","G1/S transition of mitotic cell cycle",26,26,26,142,"1","0.03532"
"5","GO:0000086","G2/M transition of mitotic cell cycle",18,18,18,83,"1","0.00035"
"6","GO:0000122","negative regulation of transcription by ...",51,51,51,553,"1","0.52197"
"7","GO:0000165","MAPK cascade",85,85,85,665,"1","0.59584"
"8","GO:0000187","activation of MAPK activity",17,17,17,873,"1","0.72044"
"9","GO:0000226","microtubule cytoskeleton organization",51,51,51,63,"1","4.8e-05"
"10","GO:0000278","mitotic cell cycle",89,89,89,7,"1","1.1e-10"
"11","GO:0000280","nuclear division",43,43,43,3,"1","6.1e-12"
"12","GO:0000302","response to reactive oxygen species",24,24,24,1542,"1","0.97788"
"13","GO:0000724","double-strand break repair via homologou...",11,11,11,81,"1","0.00033"
"14","GO:0000725","recombinational repair",11,11,11,82,"1","0.00033"
"15","GO:0000819","sister chromatid segregation",25,25,25,13,"1","7.1e-09"
"16","GO:0000902","cell morphogenesis",104,104,104,878,"1","0.72430"
"17","GO:0000904","cell morphogenesis involved in different...",78,78,78,1134,"1","0.85005"
"18","GO:0000910","cytokinesis",13,13,13,97,"1","0.00253"
"19","GO:0001101","response to acid chemical",13,13,13,863,"1","0.71475"
"20","GO:0001501","skeletal system development",47,47,47,294,"1","0.23829"
"21","GO:0001503","ossification",45,45,45,605,"1","0.55676"
"22","GO:0001505","regulation of neurotransmitter levels",18,18,18,1406,"1","0.94591"
"23","GO:0001508","action potential",12,12,12,1332,"1","0.92785"
"24","GO:0001523","retinoid metabolic process",12,12,12,1579,"1","0.98365"
"25","GO:0001525","angiogenesis",73,73,73,1606,"1","0.98821"
"26","GO:0001558","regulation of cell growth",35,35,35,1158,"1","0.86159"
"27","GO:0001568","blood vessel development",87,87,87,1565,"1","0.98157"
"28","GO:0001649","osteoblast differentiation",19,19,19,1155,"1","0.86019"
"29","GO:0001654","eye development",35,35,35,1348,"1","0.93294"
"30","GO:0001655","urogenital system development",42,42,42,796,"1","0.67489"
