node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
TNFSF10,1.0,0.0,1.0,2.0,65.709,1.0,0.05299,48.72095,9.37223,0.0,0.0,0.0,
TNFRSF25,1.0,0.0,1.0,2.0,67.222,1.0,0.05299,48.72095,9.37223,0.0,0.0,0.0,
TMEM176B,1.0,0.0,1.0,2.0,1.606,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
TMEM176A,1.0,0.0,1.0,2.0,1.606,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
SYNPO,1.0,0.0,1.0,2.0,36.708,1.0,0.05299,44.03368,8.87331,0.0,0.0,0.0,
STAG3,1.0,0.0,1.0,2.0,99.828,1.0,0.05677,58.16358,10.0684,0.0,0.0,0.0,
RGS3,2.0,0.61557,2.0,4.0,81.462,1.0,0.05299,43.49797,8.78629,0.0,0.0,0.33333,
RGS2,2.0,0.61557,2.0,4.0,78.836,1.0,0.05299,43.49797,8.78629,0.0,0.0,0.33333,
STK3,1.0,0.0,1.0,2.0,1.555,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
RASSF1,1.0,0.0,1.0,2.0,1.555,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
RIN3,1.0,0.0,1.0,2.0,1.579,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
RAB31,1.0,0.0,1.0,2.0,1.579,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
PTHLH,1.0,0.0,1.0,2.0,1.578,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
PTH,1.0,0.0,1.0,2.0,1.578,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
SIKE1,1.0,0.0,1.0,2.0,103.107,1.0,0.06114,53.60114,9.86825,0.0,0.0,0.0,
PPP1R15A,1.0,0.0,1.0,2.0,1.965,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
XRCC1,4.0,0.61795,3.0,6.0,177.629,1.0,0.05677,56.97627,9.86245,0.4,8.0,0.26667,
RAD51AP1,5.0,0.61795,3.0,8.0,187.769,1.0,0.06114,72.73963,10.62244,55.13466,540032.0,0.14286,
VLDLR,2.0,0.61557,2.0,4.0,75.556,1.0,0.04967,45.29673,8.93712,0.0,0.0,0.33333,
PFKFB4,1.0,0.0,1.0,2.0,1.57,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
PFKFB3,1.0,0.0,1.0,2.0,1.57,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
VNN2,1.0,0.0,1.0,2.0,1.614,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
PANK2,1.0,0.0,1.0,2.0,1.614,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
PA1,1.0,0.0,1.0,2.0,55.312,1.0,0.07948,47.16587,9.33452,0.0,0.0,0.0,
ST3GAL1,1.0,0.0,1.0,2.0,1.94,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
NRG1,1.0,0.0,1.0,2.0,110.179,1.0,0.06623,57.73139,10.15833,0.0,0.0,0.0,
NRP2,1.0,0.0,1.0,2.0,34.126,1.0,0.05299,39.12022,8.32797,0.0,0.0,0.0,
NR5A2,1.0,0.0,1.0,2.0,110.409,1.0,0.06623,61.67662,10.38458,0.0,0.0,0.0,
PER3,1.0,0.0,1.0,2.0,1.616,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
NR1D2,1.0,0.0,1.0,2.0,1.616,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
RRP36,1.0,0.0,1.0,2.0,40.7,1.0,0.05299,46.43646,9.11987,0.0,0.0,0.0,
TBX3,1.0,0.0,1.0,2.0,85.101,1.0,0.06114,51.18249,9.67681,0.0,0.0,0.0,
POLR3B,1.0,0.0,1.0,2.0,1.618,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
NFIB,1.0,0.0,1.0,2.0,1.618,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
NEK6,24.0,1.13679,4.0,8.0,185.532,1.0,0.06114,65.84201,10.4455,0.0,0.0,0.42857,
RUNX1T1,1.0,0.0,1.0,2.0,108.66,1.0,0.06623,60.38734,10.32657,0.0,0.0,0.0,
ZBTB16,1.0,0.0,1.0,2.0,107.115,1.0,0.06623,60.38734,10.32657,0.0,0.0,0.0,
NMRK1,1.0,0.0,1.0,2.0,1.601,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
NAMPT,1.0,0.0,1.0,2.0,1.601,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
MYH6,1.0,0.0,1.0,2.0,1.909,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
MYH11,1.0,0.0,1.0,2.0,1.892,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
MYH10,2.0,0.0,1.0,4.0,2.147,3.0,0.00867,2.0,0.03035,2.0,8.0,0.0,
TIMP3,1.0,0.0,1.0,2.0,94.706,1.0,0.05677,53.15723,9.80734,0.0,0.0,0.0,
MFAP5,1.0,0.0,1.0,2.0,1.912,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
NKX2-5,3.0,0.0,1.0,6.0,130.418,3.0,0.06623,64.30281,10.4687,737.13361,517912.0,0.0,
PDE4DIP,1.0,0.0,1.0,2.0,90.387,1.0,0.05677,57.38024,10.0394,0.0,0.0,0.0,
PHC2,1.0,0.0,1.0,2.0,116.624,1.0,0.07225,68.26356,10.75878,0.0,0.0,0.0,
WWC1,2.0,0.0,1.0,4.0,61.457,2.0,0.05677,53.4108,9.6652,546.0,1434040.0,0.0,
S100A9,1.0,0.0,1.0,2.0,83.712,1.0,0.05677,49.66794,9.56368,0.0,0.0,0.0,
PLA2G16,1.0,0.0,1.0,2.0,1.596,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
LPCAT1,1.0,0.0,1.0,2.0,1.596,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
MMAB,1.0,0.0,1.0,2.0,1.568,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
LMBRD1,1.0,0.0,1.0,2.0,1.568,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
SERPINE1,3.0,0.61557,2.0,6.0,76.506,2.0,0.04967,45.79673,8.94002,546.0,7479392.0,0.13333,
LDLR,1.0,0.0,1.0,2.0,46.035,1.0,0.04675,38.54459,8.14813,0.0,0.0,0.0,
LY96,3.0,0.0,1.0,6.0,140.811,3.0,0.06114,61.89479,10.35558,842.32839,876152.0,0.0,
MMP19,1.0,0.0,1.0,2.0,67.021,1.0,0.05677,49.56953,9.46505,0.0,0.0,0.0,
MATK,1.0,0.0,1.0,2.0,93.452,1.0,0.05299,54.78047,9.86535,0.0,0.0,0.0,
TJP2,1.0,0.0,1.0,2.0,114.769,1.0,0.07225,69.67071,10.79358,0.0,0.0,0.0,
IL4R,1.0,0.0,1.0,2.0,113.823,1.0,0.07225,68.26356,10.75878,0.0,0.0,0.0,
NLRP3,1.0,0.0,1.0,2.0,112.696,1.0,0.06623,60.68059,10.35267,0.0,0.0,0.0,
IFT81,1.0,0.0,1.0,2.0,1.929,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
MSN,2.0,0.0,1.0,4.0,104.234,3.0,0.05299,50.69158,9.46795,1088.0,1.5415224E7,0.0,
UCHL1,1.0,0.0,1.0,2.0,108.977,1.0,0.06114,61.9563,10.37008,0.0,0.0,0.0,
HSPH1,6.0,0.92693,3.0,6.0,174.974,1.0,0.06114,65.14678,10.4658,0.0,0.0,0.4,
TNFRSF10A,3.0,0.0,1.0,6.0,113.751,3.0,0.05677,60.85961,10.16413,1090.0,5140632.0,0.0,
HSD11B1,1.0,0.0,1.0,2.0,113.927,1.0,0.06623,59.98258,10.25405,0.0,0.0,0.0,
